name,x,y,z,theta_rad1,theta_rad2,theta_rad3
2011_09_26_drive_0001_sync_0000000048,-0.35,-0.25,-0.3,-2.19,0,0
2011_09_26_drive_0001_sync_0000000069,-0.15,-0.49,0,-1.92,-3.85,2.36
2011_09_26_drive_0001_sync_0000000099,0.35,-0.28,-0.35,1.88,-0.7,0
2011_09_26_drive_0001_sync_0000000010,-0.34,0.42,0,-1.7,0,-0.71
2011_09_26_drive_0001_sync_0000000029,0,0.39,-0.41,0,0,-3.6
2011_09_26_drive_0001_sync_0000000079,0.32,0,0,-3.49,4.93,0
2011_09_26_drive_0001_sync_0000000074,0,-0.34,0.42,0,0,4.55
2011_09_26_drive_0001_sync_0000000040,0,0,0,1.73,0,0
2011_09_26_drive_0001_sync_0000000090,0,0,-0.13,0,-1.7,0
2011_09_26_drive_0001_sync_0000000017,-0.35,0,0.36,0,1.74,0
2011_09_26_drive_0001_sync_0000000095,0.29,-0.5,-0.45,4.49,0,0
2011_09_26_drive_0001_sync_0000000092,0,0.13,0,-2.46,0,-0.73
2011_09_26_drive_0001_sync_0000000103,0,0.43,0.4,0,-3.29,0
2011_09_26_drive_0001_sync_0000000052,0,0,0,3.22,0,0
2011_09_26_drive_0001_sync_0000000044,0.33,0,0.11,0,0,0
2011_09_26_drive_0001_sync_0000000083,0.35,0,0.15,0,0,-3.89
2011_09_26_drive_0001_sync_0000000034,0,-0.49,0,0,-4.95,-4.53
2011_09_26_drive_0001_sync_0000000049,-0.35,0,0.18,-2.8,0,-1.18
2011_09_26_drive_0001_sync_0000000077,0,0,0.47,-2.9,0,0.64
2011_09_26_drive_0001_sync_0000000054,-0.23,0,0,0,0,-3.4
2011_09_26_drive_0001_sync_0000000016,-0.22,0.48,0,0,0,0
2011_09_26_drive_0001_sync_0000000105,0,0.16,0,3.93,0,0
2011_09_26_drive_0001_sync_0000000055,-0.32,0,0,3.9,0,0
2011_09_26_drive_0001_sync_0000000036,0.21,0.47,-0.18,0,3.86,0
2011_09_26_drive_0001_sync_0000000066,0.41,0.16,0,0,0,0
2011_09_26_drive_0001_sync_0000000094,0,-0.5,0,0.56,0,0
2011_09_26_drive_0001_sync_0000000035,0,-0.11,-0.35,0,-1.33,0
2011_09_26_drive_0001_sync_0000000050,-0.19,0,0,3.0,3.9,0
2011_09_26_drive_0001_sync_0000000100,0.1,0,0,0,0,0
2011_09_26_drive_0001_sync_0000000041,-0.41,-0.13,0.26,4.43,-1.08,0
2011_09_26_drive_0001_sync_0000000084,-0.27,0,0.42,1.93,1.96,0
2011_09_26_drive_0001_sync_0000000042,0,0,0.17,0,0,0
2011_09_26_drive_0001_sync_0000000037,0,0,-0.49,0.66,-4.29,2.09
2011_09_26_drive_0001_sync_0000000022,0.23,0.48,0.37,0,-4.51,0.87
2011_09_26_drive_0001_sync_0000000015,-0.43,-0.24,0.45,0,-0.52,0
2011_09_26_drive_0001_sync_0000000087,-0.24,0.45,0,-0.81,3.53,0
2011_09_26_drive_0001_sync_0000000043,0.22,0,0.29,-2.42,0,0
2011_09_26_drive_0001_sync_0000000045,-0.25,0,0.14,0,0,0
2011_09_26_drive_0001_sync_0000000056,-0.43,-0.12,0,0,0,1.41
2011_09_26_drive_0001_sync_0000000006,0,0.25,0,0,0,0
2011_09_26_drive_0001_sync_0000000020,-0.37,0,0,0,-3.98,0
2011_09_26_drive_0001_sync_0000000038,0,0,0,1.73,2.97,-1.13
2011_09_26_drive_0001_sync_0000000070,-0.23,0,0,-3.8,2.19,-0.61
2011_09_26_drive_0001_sync_0000000075,0,0,0,-1.63,-1.12,-4.46
2011_09_26_drive_0001_sync_0000000047,0,0.42,0,2.61,0.58,3.92
2011_09_26_drive_0001_sync_0000000065,0,0,-0.5,-1.65,0,2.16
2011_09_26_drive_0001_sync_0000000012,-0.25,0,-0.48,0,0,1.13
2011_09_26_drive_0001_sync_0000000071,0.42,0,0.31,-2.16,4.25,3.32
2011_09_26_drive_0001_sync_0000000013,0.33,0,0,0,0.87,-1.13
2011_09_26_drive_0001_sync_0000000019,-0.21,0,0,4.87,-2.58,0
2011_09_26_drive_0001_sync_0000000039,0.18,0,0,0,0,0
2011_09_26_drive_0001_sync_0000000059,0,0,0,-4.19,0,0
2011_09_26_drive_0001_sync_0000000027,0,0,0,0,0,3.52
2011_09_26_drive_0001_sync_0000000104,0,0,0,2.48,0,-3.13
2011_09_26_drive_0001_sync_0000000082,-0.2,0.29,0,1.71,2.19,0
2011_09_26_drive_0001_sync_0000000060,0,-0.13,0,0,0,0
2011_09_26_drive_0001_sync_0000000086,-0.21,-0.19,0,0,4.28,4.13
2011_09_26_drive_0001_sync_0000000007,0,0.31,0,-0.59,2.0,0
2011_09_26_drive_0001_sync_0000000102,-0.46,-0.32,0,4.89,4.39,-2.18
2011_09_26_drive_0001_sync_0000000011,-0.13,-0.45,0.2,0,0,0
2011_09_26_drive_0001_sync_0000000088,0,-0.4,0,0,0,0
2011_09_26_drive_0001_sync_0000000076,-0.21,0,0,-4.93,0,0
2011_09_26_drive_0001_sync_0000000093,0.14,0,-0.43,0,-1.77,2.44
2011_09_26_drive_0001_sync_0000000062,0.14,0.3,0,2.2,0,-3.95
2011_09_26_drive_0001_sync_0000000106,0,0,0,-1.26,0,-0.83
2011_09_26_drive_0001_sync_0000000080,0.35,-0.15,-0.19,-4.62,0,2.49
2011_09_26_drive_0001_sync_0000000032,0,0,-0.38,-4.74,-3.0,0
2011_09_26_drive_0001_sync_0000000026,-0.44,0.47,-0.17,0.58,0,-1.15
2011_09_26_drive_0001_sync_0000000023,0.28,0,0,0,-4.77,0
2011_09_26_drive_0001_sync_0000000091,0,0,0,0,-1.25,4.95
2011_09_26_drive_0001_sync_0000000005,0.45,0.35,0,0,-2.33,0
2011_09_26_drive_0001_sync_0000000018,-0.29,0.14,0,2.92,-4.41,3.33
2011_09_26_drive_0001_sync_0000000101,0,0,0,2.3,0,0
2011_09_26_drive_0001_sync_0000000081,-0.4,0,-0.18,3.08,-4.53,0
2011_09_26_drive_0001_sync_0000000073,0.4,0,-0.45,0,0,0
2011_09_26_drive_0001_sync_0000000098,-0.14,0,0,-1.37,3.95,0
2011_09_26_drive_0001_sync_0000000085,0,0,0,0.71,0,0
2011_09_26_drive_0001_sync_0000000051,-0.12,0,0.41,0,0,0
2011_09_26_drive_0001_sync_0000000068,0.36,0,-0.12,-3.85,2.34,-4.37
2011_09_26_drive_0001_sync_0000000025,0,0,0,0,0,-2.89
2011_09_26_drive_0001_sync_0000000024,-0.21,0.25,0,0.87,0,0
2011_09_26_drive_0001_sync_0000000030,0,0,0.1,-2.81,0,0
2011_09_26_drive_0001_sync_0000000058,0.46,0.23,-0.49,0,3.75,-4.89
2011_09_26_drive_0001_sync_0000000002,0.47,0.15,0,0,0,-0.69
2011_09_26_drive_0001_sync_0000000072,-0.13,-0.33,0.41,0,-2.27,1.99
2011_09_26_drive_0001_sync_0000000001,-0.43,-0.44,0,0,0.68,0
2011_09_26_drive_0001_sync_0000000008,-0.45,0,-0.24,0.91,0,-2.47
2011_09_26_drive_0001_sync_0000000057,0.35,0,-0.25,-4.96,-1.61,2.81
2011_09_26_drive_0001_sync_0000000009,0.1,0.35,0,0,0,0
2011_09_26_drive_0001_sync_0000000078,0,0.37,0,-0.64,0,0
2011_09_26_drive_0001_sync_0000000004,0,0.19,-0.13,2.66,1.3,0
2011_09_26_drive_0001_sync_0000000014,0,0,0.39,0,-3.79,-4.56
2011_09_26_drive_0001_sync_0000000021,-0.13,0,0,0,0,0
2011_09_26_drive_0001_sync_0000000107,0,-0.18,0,-2.78,0,0
2011_09_26_drive_0001_sync_0000000028,0,0.37,0.46,0,-1.9,-2.86
2011_09_26_drive_0001_sync_0000000053,0,0,0,0.81,-4.42,0
2011_09_26_drive_0001_sync_0000000063,0,-0.42,0,-1.29,0,0
2011_09_26_drive_0001_sync_0000000067,0,0,0,3.94,0,0
2011_09_26_drive_0001_sync_0000000097,0,0.19,0,1.99,0,-0.96
2011_09_26_drive_0001_sync_0000000033,0,0,-0.45,3.44,-4.26,3.49
2011_09_26_drive_0001_sync_0000000031,0,-0.17,-0.34,4.51,-1.22,0
2011_09_26_drive_0001_sync_0000000064,-0.12,0.49,0.31,0,1.96,3.46
2011_09_26_drive_0001_sync_0000000003,0.49,0.34,0,2.37,-3.78,0
2011_09_26_drive_0001_sync_0000000089,0,0,-0.2,0,0,0
2011_09_26_drive_0001_sync_0000000061,-0.22,-0.22,-0.26,-2.29,-3.99,0
2011_09_26_drive_0001_sync_0000000046,-0.14,0.22,-0.3,2.57,-4.59,0
2011_09_26_drive_0001_sync_0000000096,0.31,0,0,3.19,-1.87,1.07
2011_09_26_drive_0001_sync_0000000000,0.3,0,0,1.44,3.01,0
2011_09_26_drive_0002_sync_0000000048,0.44,0,0.48,-3.72,-2.49,0.93
2011_09_26_drive_0002_sync_0000000069,0,0.26,0,0.68,0,0
