name,x,y,z,theta_rad1,theta_rad2,theta_rad3,n
2011_10_03_drive_0027_sync_0000001369,0,-0.06,0.06,0,-4.93,0,3
2011_10_03_drive_0047_sync_0000000023,-0.04,0.08,0.09,-4.92,4.51,-0.98,6
2011_09_26_drive_0018_sync_0000000103,0.09,-0.05,0,2.93,2.38,-4.53,5
2011_09_29_drive_0004_sync_0000000312,-0.05,-0.09,-0.1,1.9,-1.44,3.1,6
2011_10_03_drive_0034_sync_0000004236,0.05,0.06,0.04,4.88,1.73,1.86,6
2011_09_28_drive_0119_sync_0000000011,0.07,0.09,0.05,3.13,0,4.19,5
2011_09_28_drive_0039_sync_0000000087,0.08,0,0.09,0,0,0,2
2011_10_03_drive_0042_sync_0000000150,0,0,0,2.27,0,0,1
2011_09_26_drive_0101_sync_0000000507,-0.07,0.07,0,-0.67,1.72,0,4
2011_09_29_drive_0071_sync_0000000068,0.05,-0.07,0,4.91,2.05,4.41,5
2011_09_29_drive_0071_sync_0000000255,-0.05,-0.06,0.09,-2.37,-0.66,3.43,6
2011_10_03_drive_0027_sync_0000002518,-0.04,-0.08,0,-0.63,0,4.7,4
2011_09_28_drive_0039_sync_0000000208,0,0,0,-3.59,-4.49,0,2
2011_10_03_drive_0042_sync_0000001150,-0.09,-0.07,-0.07,2.49,2.89,4.89,6
2011_10_03_drive_0027_sync_0000000556,0,0,0.05,0,0,3.11,2
2011_09_26_drive_0070_sync_0000000373,0,0,0,0,4.63,0,1
2011_10_03_drive_0034_sync_0000002109,0,0,-0.08,3.02,-1.09,-3.21,4
2011_09_26_drive_0084_sync_0000000117,0.07,-0.05,0.07,0,-1.08,3.09,5
2011_10_03_drive_0034_sync_0000003666,0,-0.05,0.06,-1.04,-4.87,2.15,5
2011_10_03_drive_0027_sync_0000000976,0,0,0,2.06,0,0,1
2011_10_03_drive_0034_sync_0000001921,0,0,0,0,1.76,0,1
2011_09_26_drive_0019_sync_0000000373,-0.1,0.04,0.09,1.88,4.55,-2.07,6
2011_09_26_drive_0032_sync_0000000105,0,0,-0.05,0,0,0,1
2011_10_03_drive_0027_sync_0000003290,0.07,0,-0.09,0,-4.51,4.08,4
2011_09_26_drive_0011_sync_0000000190,0,0.07,0.05,3.9,0,1.88,4
2011_09_26_drive_0084_sync_0000000064,0,0,0.09,0,-2.58,-4.33,3
2011_09_26_drive_0029_sync_0000000335,-0.06,0,0,1.07,0,-4.12,3
2011_10_03_drive_0027_sync_0000004086,0.09,-0.08,0.07,0.92,-1.57,1.67,6
2011_09_26_drive_0014_sync_0000000110,0,0,0,0,0,-0.99,1
2011_09_26_drive_0087_sync_0000000138,0.05,0.1,0.09,-3.06,0,3.65,5
2011_10_03_drive_0034_sync_0000004325,0.06,-0.05,-0.04,1.71,0,-2.82,5
2011_10_03_drive_0034_sync_0000003123,0,0.09,0,-0.56,-3.21,2.31,4
2011_09_26_drive_0101_sync_0000000213,-0.09,0.06,-0.09,-1.33,-2.47,1.78,6
2011_10_03_drive_0027_sync_0000004016,0.04,0,0,0,0,0,1
2011_09_26_drive_0039_sync_0000000068,0.05,-0.1,-0.08,-3.0,0,-1.29,5
2011_10_03_drive_0027_sync_0000000463,0,0,0,0.57,0,4.95,2
2011_10_03_drive_0027_sync_0000003783,-0.09,-0.09,-0.04,0,0,0.91,4
2011_10_03_drive_0027_sync_0000003591,0,0,0,-0.76,-0.95,0,2
2011_10_03_drive_0034_sync_0000004612,0,0,-0.1,4.19,-2.63,-1.49,4
2011_10_03_drive_0042_sync_0000000746,0.04,-0.09,0.08,-0.78,-3.77,0.59,6
2011_09_28_drive_0094_sync_0000000078,0.08,0,0,0,0,0,1
2011_09_26_drive_0032_sync_0000000181,0,-0.09,-0.07,0,0,0,2
2011_09_26_drive_0036_sync_0000000373,0.04,-0.1,0.06,-4.4,-0.7,0,5
2011_09_26_drive_0064_sync_0000000241,0,0,0,2.38,0,0,1
2011_10_03_drive_0034_sync_0000000974,-0.09,-0.06,0,-2.94,0,4.55,4
2011_10_03_drive_0034_sync_0000002460,0,-0.07,-0.09,0,-1.14,-4.44,4
2011_10_03_drive_0027_sync_0000003098,0,0,0,0,1.37,0,1
2011_09_26_drive_0096_sync_0000000134,0,0,0,0,-2.55,4.04,2
2011_09_29_drive_0071_sync_0000000011,0.04,0.08,0,-0.53,4.6,0,4
2011_10_03_drive_0034_sync_0000003551,0,0,0.07,-1.87,0,0,2
2011_09_28_drive_0177_sync_0000000019,-0.06,0.05,0.04,2.6,1.99,-1.81,6
2011_09_26_drive_0046_sync_0000000019,0,0.06,0,0,0,0,1
2011_09_28_drive_0087_sync_0000000070,0.05,0,-0.06,-0.6,0,-0.9,4
2011_10_03_drive_0027_sync_0000002667,-0.06,-0.06,0,0,0,-2.02,3
2011_09_26_drive_0056_sync_0000000035,-0.1,-0.09,0.05,-0.77,-0.57,-0.86,6
2011_09_26_drive_0036_sync_0000000791,-0.07,0,0,0,-0.93,0,2
2011_09_26_drive_0019_sync_0000000402,-0.06,0.06,0,-3.81,3.81,0,4
2011_10_03_drive_0047_sync_0000000403,0,-0.06,-0.04,-3.78,0.87,0,4
2011_09_28_drive_0057_sync_0000000008,0,0.09,-0.04,0,0,0,2
2011_09_28_drive_0208_sync_0000000014,0,0.06,0.1,-4.75,0,-1.11,4
2011_09_26_drive_0027_sync_0000000024,-0.07,0,0.07,0,4.4,2.65,4
2011_10_03_drive_0027_sync_0000004145,0,0.04,0,0,4.8,0,2
2011_10_03_drive_0047_sync_0000000513,0,0,0,-4.68,0,-1.86,2
2011_09_26_drive_0087_sync_0000000614,-0.04,0.08,-0.06,-3.0,4.44,-2.2,6
2011_09_26_drive_0039_sync_0000000290,0,0,0,-4.57,0,0,1
2011_09_26_drive_0104_sync_0000000069,0.1,0.05,0,0,-3.28,0,3
2011_10_03_drive_0027_sync_0000000294,0,0,-0.05,0,-2.96,-0.51,3
2011_09_28_drive_0075_sync_0000000046,0.1,-0.09,-0.06,0,3.36,1.77,5
2011_09_26_drive_0056_sync_0000000287,0,-0.09,0.06,0,0,-1.5,3
2011_09_29_drive_0071_sync_0000000982,0.07,-0.07,-0.09,0,3.22,1.08,5
2011_09_29_drive_0071_sync_0000000413,-0.07,0.05,-0.07,-3.54,0,-2.22,5
2011_09_26_drive_0087_sync_0000000635,-0.07,0.07,-0.09,-2.65,3.23,0,5
2011_09_26_drive_0101_sync_0000000780,0,-0.08,0,0,0,3.13,2
2011_10_03_drive_0027_sync_0000000155,0,-0.1,0.06,-1.69,-3.86,4.93,5
2011_10_03_drive_0027_sync_0000003225,-0.1,-0.07,0,1.76,4.47,0,4
2011_10_03_drive_0034_sync_0000002409,0,0,0,0,2.83,-4.67,2
2011_10_03_drive_0027_sync_0000000688,-0.07,-0.06,0.08,3.79,-1.97,-2.09,6
2011_10_03_drive_0027_sync_0000002500,0,0.04,0.07,0,0,0,2
2011_09_26_drive_0023_sync_0000000003,0.05,0,-0.04,-0.88,-1.18,0,4
2011_09_26_drive_0015_sync_0000000239,0,0,0,1.96,2.08,0,2
2011_09_26_drive_0035_sync_0000000038,0.06,-0.07,0.06,-0.67,-2.28,-4.2,6
2011_09_28_drive_0021_sync_0000000136,-0.06,0,0.06,0,0,4.99,3
2011_09_28_drive_0016_sync_0000000173,0.09,0,0,0,0,0.8,2
2011_10_03_drive_0034_sync_0000001924,0.05,0,0,0.54,-3.8,0,3
2011_09_26_drive_0036_sync_0000000626,-0.08,0,0,0,-2.63,0,2
2011_09_26_drive_0061_sync_0000000421,0.05,0.05,0.04,-0.64,-0.94,0.94,6
2011_09_28_drive_0001_sync_0000000068,0,0,0.08,-0.71,0,0,2
