name,x,y,z,theta_rad1,theta_rad2,theta_rad3,n
2011_09_26_drive_0015_sync_0000000097,0.07,0.09,0.09,1.13,-1.02,1.76,6
2011_10_03_drive_0027_sync_0000002006,-0.05,0.05,-0.08,-1.8,0,0,4
2011_09_26_drive_0002_sync_0000000036,0,0.04,0,0,0,-1.01,2
2011_10_03_drive_0047_sync_0000000163,0,-0.07,0,0,1.24,-1.14,3
2011_09_26_drive_0023_sync_0000000019,0.05,0.08,0.09,0.98,0,-1.34,5
2011_10_03_drive_0047_sync_0000000481,0,0,-0.1,1.78,0.9,0,3
2011_09_26_drive_0036_sync_0000000703,0.1,0.1,-0.07,-1.45,0.54,1.48,6
2011_09_26_drive_0064_sync_0000000234,0,0,0,0,-1.97,0,1
2011_09_26_drive_0017_sync_0000000038,0.06,0.06,0.04,0,1.04,1.75,5
2011_09_26_drive_0023_sync_0000000243,0,0,-0.06,0,0,0,1
2011_10_03_drive_0027_sync_0000004417,0,0,-0.07,0,0,0,1
2011_10_03_drive_0042_sync_0000001105,-0.07,-0.06,0.08,-0.89,0,-0.91,5
2011_09_26_drive_0029_sync_0000000294,0.06,-0.09,-0.1,0,-1.15,-1.17,5
2011_09_26_drive_0052_sync_0000000011,0.09,0,-0.07,0.5,-1.32,0,4
2011_09_26_drive_0096_sync_0000000028,0,-0.04,0,1.15,0.63,0,3
2011_09_26_drive_0061_sync_0000000271,0,-0.06,0,-1.07,0,0,2
2011_10_03_drive_0027_sync_0000003467,0,0,0,0,0.56,0,1
2011_09_26_drive_0036_sync_0000000406,0,0,0,0,0.52,0,1
2011_09_26_drive_0104_sync_0000000077,0.04,0,-0.08,-1.8,0,-1.82,4
2011_09_26_drive_0064_sync_0000000339,-0.05,0,-0.05,0,0,0,2
2011_09_26_drive_0036_sync_0000000697,0,-0.06,0,0,0,-0.63,2
2011_09_26_drive_0091_sync_0000000236,0,0,0,0,-1.61,0,1
2011_10_03_drive_0027_sync_0000003454,0,0,0,0,1.53,-1.44,2
2011_09_26_drive_0019_sync_0000000268,-0.05,0.07,-0.05,0,1.31,-1.88,5
2011_09_26_drive_0101_sync_0000000638,0,0,0.04,0,1.79,1.75,3
2011_10_03_drive_0027_sync_0000001989,0,0,0.09,0,-1.2,0,2
2011_09_26_drive_0084_sync_0000000211,0.06,0.05,0,-1.27,1.81,1.16,5
2011_09_26_drive_0101_sync_0000000645,0.07,-0.06,0,0.94,1.68,0.6,5
2011_09_26_drive_0029_sync_0000000304,0,0,-0.06,0,0,1.57,2
2011_09_26_drive_0022_sync_0000000185,0,-0.08,0,0,0,0,1
2011_10_03_drive_0027_sync_0000001105,0.09,-0.1,0,-1.73,1.23,-0.7,5
2011_10_03_drive_0042_sync_0000000621,0.06,0.05,0,0,0,0,2
2011_10_03_drive_0027_sync_0000000521,0,0,0,-1.67,0,0,1
2011_09_26_drive_0101_sync_0000000808,-0.05,0,0,0,0,-0.74,2
2011_10_03_drive_0027_sync_0000000680,0,0,0.05,0,0,-0.71,2
2011_09_26_drive_0101_sync_0000000757,0,0,0.07,-0.95,1.73,0,3
2011_09_26_drive_0093_sync_0000000210,0,0.07,-0.08,-1.84,1.7,0,4
2011_09_26_drive_0029_sync_0000000222,0,0,0.06,-1.1,0,0,2
2011_09_26_drive_0051_sync_0000000084,0.09,0.05,-0.08,0.59,1.86,1.2,6
2011_10_03_drive_0027_sync_0000003483,0,0,0,-0.7,-0.5,-1.29,3
2011_09_26_drive_0051_sync_0000000095,0,0.07,-0.07,-0.74,0,-1.23,4
2011_09_26_drive_0059_sync_0000000367,0,0,0.09,1.75,0,-0.96,3
2011_09_26_drive_0018_sync_0000000089,0.06,0,-0.05,0,-0.68,-0.68,4
2011_09_26_drive_0022_sync_0000000388,0,0,0.08,0,0,0,1
2011_09_26_drive_0048_sync_0000000020,0.08,-0.08,0.07,-0.71,1.08,0,5
2011_09_26_drive_0064_sync_0000000073,0,0,0,0,1.21,0,1
2011_09_26_drive_0101_sync_0000000079,0.05,-0.06,0.07,0.72,1.08,1.86,6
2011_09_26_drive_0070_sync_0000000068,0,0,0,1.62,0,0,1
2011_09_26_drive_0104_sync_0000000206,0.06,0.06,0,0,-1.28,0,3
2011_09_26_drive_0027_sync_0000000116,0,0,0,-1.49,0,0,1
2011_09_26_drive_0032_sync_0000000125,0,0.08,-0.09,-0.52,1.36,0,4
2011_09_26_drive_0018_sync_0000000184,-0.05,0,0,0,0,0,1
2011_09_26_drive_0018_sync_0000000241,0,-0.04,0,-1.3,1.16,-1.43,4
2011_09_26_drive_0086_sync_0000000421,0,0,-0.07,-0.93,0,0,2
2011_09_26_drive_0061_sync_0000000149,-0.05,0.05,0.07,1.94,-1.03,-0.54,6
2011_10_03_drive_0047_sync_0000000679,0.08,-0.07,0,0,-1.55,0,3
2011_09_26_drive_0087_sync_0000000552,0,0.09,0,-1.22,-0.56,0,3
2011_10_03_drive_0027_sync_0000002664,0,0.08,0.05,-1.09,-1.2,1.6,5
2011_10_03_drive_0027_sync_0000004159,0.09,-0.05,0.09,-1.97,1.42,-1.22,6
2011_09_26_drive_0061_sync_0000000431,-0.06,0,0,1.27,-1.69,0,3
2011_09_26_drive_0023_sync_0000000170,0.05,-0.09,0.05,1.44,1.63,1.4,6
2011_09_26_drive_0096_sync_0000000052,0,0,0,-1.04,0,0,1
2011_09_26_drive_0029_sync_0000000180,0.06,0.04,-0.04,-1.63,0,-0.71,5
2011_09_26_drive_0064_sync_0000000326,0.05,-0.07,0.06,0.92,-1.97,-1.94,6
2011_09_26_drive_0087_sync_0000000435,-0.09,0.05,0.05,0.87,1.61,-0.83,6
2011_09_26_drive_0036_sync_0000000627,-0.05,-0.09,0,-1.09,0.79,1.88,5
2011_09_26_drive_0039_sync_0000000239,-0.1,0.09,-0.08,1.41,1.36,0.83,6
2011_09_26_drive_0046_sync_0000000113,0.06,0,0,0,-0.94,0,2
2011_09_26_drive_0036_sync_0000000474,0,0,-0.04,0,0,1.7,2
2011_09_26_drive_0084_sync_0000000145,0,0,-0.05,0,0,0,1
2011_09_26_drive_0086_sync_0000000424,-0.07,0.06,-0.05,0.65,1.97,1.24,6
2011_10_03_drive_0042_sync_0000000062,0.1,0,-0.1,-0.86,-0.7,-0.52,5
2011_09_26_drive_0101_sync_0000000245,0,-0.07,0,-1.22,0,0.81,3
2011_09_26_drive_0014_sync_0000000260,0,0.08,0,0,0,-1.13,2
2011_10_03_drive_0027_sync_0000000704,-0.08,0,0.06,0.6,0.58,0.85,5
2011_09_26_drive_0057_sync_0000000295,-0.06,0,0,0,1.35,0,2
2011_09_26_drive_0014_sync_0000000250,0.05,0.09,0.07,-1.93,0.64,-1.97,6
2011_09_26_drive_0064_sync_0000000314,0.08,0,0,1.12,0,-1.92,3
2011_10_03_drive_0027_sync_0000001955,-0.07,0,0.07,0,0,-1.4,3
2011_09_26_drive_0046_sync_0000000052,0,0,0,0,-1.22,0,1
2011_09_26_drive_0036_sync_0000000258,0.09,0,0.07,-1.47,0,-1.37,4
2011_09_26_drive_0022_sync_0000000593,-0.04,0,0,0,0,0,1
2011_10_03_drive_0027_sync_0000003642,0.09,0,-0.04,0.86,-1.63,0,4
2011_09_26_drive_0036_sync_0000000228,0.07,0.06,0,0,1.48,-0.98,4
2011_09_26_drive_0087_sync_0000000675,-0.05,0.09,-0.08,1.79,-1.94,0,5
2011_09_26_drive_0070_sync_0000000215,0.07,0,-0.05,-0.6,-0.86,0,4
2011_10_03_drive_0027_sync_0000004021,-0.07,0,0,-0.97,0,0.75,3
2011_09_26_drive_0086_sync_0000000686,-0.1,-0.04,-0.08,-1.99,-0.83,-1.9,6
2011_09_26_drive_0093_sync_0000000189,-0.08,-0.07,-0.1,0,0.63,-1.93,5
2011_10_03_drive_0042_sync_0000000391,0.09,0.07,0,-0.78,0,1.68,4
2011_09_26_drive_0101_sync_0000000792,0,0,0,0,0.96,0,1
2011_10_03_drive_0047_sync_0000000182,-0.09,-0.07,0.07,-1.02,0.68,-1.33,6
2011_09_26_drive_0039_sync_0000000031,0.05,-0.06,0,0,-0.75,-1.56,4
2011_09_26_drive_0036_sync_0000000084,0,0.1,0.08,0,1.69,-0.63,4
2011_09_26_drive_0032_sync_0000000380,0,0,0,0,1.47,0,1
2011_09_26_drive_0091_sync_0000000212,0,0,0,0,0,0.77,1
2011_09_26_drive_0104_sync_0000000138,0,0.05,-0.05,0,0,0.61,3
2011_09_26_drive_0101_sync_0000000696,-0.05,0,-0.06,0,-0.6,-1.24,4
2011_09_26_drive_0093_sync_0000000350,0,0,0,0,-1.74,0,1
2011_09_26_drive_0091_sync_0000000321,0,0,0,-1.25,1.21,0,2
2011_09_26_drive_0059_sync_0000000057,0.07,0.05,0.1,-1.2,-0.97,1.13,6
2011_09_26_drive_0036_sync_0000000189,0.05,0,-0.08,0,0,0,2
2011_09_26_drive_0046_sync_0000000057,0.08,0.09,-0.08,-0.83,-1.36,-1.09,6
2011_10_03_drive_0027_sync_0000000384,0.08,0,0.07,0.84,1.0,-1.96,5
2011_10_03_drive_0027_sync_0000002061,0,-0.08,-0.06,0.61,-0.97,-1.91,5
2011_10_03_drive_0027_sync_0000000359,-0.1,0.09,-0.07,-1.28,-1.36,-1.99,6
2011_09_26_drive_0057_sync_0000000145,-0.06,-0.05,-0.08,-1.48,1.8,0.87,6
2011_09_26_drive_0096_sync_0000000174,0,0,0,-0.51,-1.26,0,2
2011_09_26_drive_0104_sync_0000000170,0.06,0,0,0,0,0,1
2011_09_26_drive_0039_sync_0000000240,-0.04,0.07,0.05,-1.31,0,0,4
2011_09_26_drive_0015_sync_0000000161,0.08,-0.05,-0.09,0,0,0,3
