name,x,y,z,theta_rad1,theta_rad2,theta_rad3,n
2011_10_03_drive_0027_sync_0000001369,0.07,-0.05,-0.09,3.71,0,3.61,5
2011_10_03_drive_0047_sync_0000000023,0.05,0,0.08,0,-0.63,-3.12,4
2011_09_26_drive_0018_sync_0000000103,-0.09,0.07,0.07,-3.98,2.11,-4.06,6
2011_09_29_drive_0004_sync_0000000312,0.09,0.08,0.04,4.71,1.46,4.57,6
2011_10_03_drive_0034_sync_0000004236,0,0.04,0,2.69,-3.32,0,3
2011_09_28_drive_0119_sync_0000000011,0,0.08,0,3.64,-1.07,1.18,4
2011_09_28_drive_0039_sync_0000000087,0,-0.08,0,0,0,0,1
2011_10_03_drive_0042_sync_0000000150,-0.05,0.06,-0.08,-4.81,-1.08,2.95,6
2011_09_26_drive_0101_sync_0000000507,0,0,0,0.8,0,0,1
2011_09_29_drive_0071_sync_0000000068,0,0.09,0.08,-4.32,1.57,-4.97,5
2011_09_29_drive_0071_sync_0000000255,0,0.07,0,0,0,1.41,2
2011_10_03_drive_0027_sync_0000002518,0,0.07,-0.04,2.77,-1.42,0,4
2011_09_28_drive_0039_sync_0000000208,0,0.09,0.05,-1.04,3.72,0,4
2011_10_03_drive_0042_sync_0000001150,0,0,0.08,-3.3,-4.58,-1.67,4
2011_10_03_drive_0027_sync_0000000556,0.07,-0.1,0,-3.94,0,1.49,4
2011_09_26_drive_0070_sync_0000000373,0.06,0,-0.08,0,-2.41,3.62,4
2011_10_03_drive_0034_sync_0000002109,-0.1,0.07,0.09,-1.92,-3.49,2.91,6
2011_09_26_drive_0084_sync_0000000117,0.07,0,0,1.68,-4.88,0,3
2011_10_03_drive_0034_sync_0000003666,0.06,0.05,0,4.26,0,-1.59,4
2011_10_03_drive_0027_sync_0000000976,-0.08,-0.04,0.06,0,-4.43,0.62,5
2011_10_03_drive_0034_sync_0000001921,0,0,0,1.92,0,0,1
2011_09_26_drive_0019_sync_0000000373,-0.06,0,0.07,-3.22,0,0.52,4
2011_09_26_drive_0032_sync_0000000105,0,0,0.05,0,-3.56,-0.63,3
2011_10_03_drive_0027_sync_0000003290,0,-0.05,0,-4.72,0,0,2
