name,x,y,z,theta_rad1,theta_rad2,theta_rad3,n
2011_09_26_drive_0001_sync_0000000048,0,0,0,0,0,7.69,1
2011_09_26_drive_0001_sync_0000000069,0,0,0,-6.17,6.07,7.35,3
2011_09_26_drive_0001_sync_0000000099,0.1,0,0,0,0,0,1
2011_09_26_drive_0001_sync_0000000010,-0.11,0.17,-0.16,0,8.21,0,4
2011_09_26_drive_0001_sync_0000000029,0.15,0.19,0.17,0,-6.12,5.61,5
2011_09_26_drive_0001_sync_0000000079,0.19,0,0,0,8.6,0,2
2011_09_26_drive_0001_sync_0000000074,0,0,0,0,-9.38,0,1
2011_09_26_drive_0001_sync_0000000040,0,0,0.15,7.36,-9.09,8.15,4
2011_09_26_drive_0001_sync_0000000090,-0.12,0,0,9.96,0,0,2
2011_09_26_drive_0001_sync_0000000017,-0.13,0.19,0,0,0,7.52,3
2011_09_26_drive_0001_sync_0000000095,-0.18,0,0.15,0,0,0,2
2011_09_26_drive_0001_sync_0000000092,-0.19,0,-0.13,-5.35,-5.22,5.93,5
2011_09_26_drive_0001_sync_0000000103,0.13,-0.18,0,-8.38,-8.62,-7.93,5
2011_09_26_drive_0001_sync_0000000052,0,0.17,0,0,-8.11,0,2
2011_09_26_drive_0001_sync_0000000044,0.12,-0.15,0.15,-8.56,8.65,6.05,6
2011_09_26_drive_0001_sync_0000000083,0,0,0,0,0,-8.34,1
2011_09_26_drive_0001_sync_0000000034,0.11,0,-0.17,0,0,6.78,3
2011_09_26_drive_0001_sync_0000000049,0.18,0.19,-0.11,5.67,9.52,-9.98,6
2011_09_26_drive_0001_sync_0000000077,0,0,-0.12,-9.05,7.1,0,3
2011_09_26_drive_0001_sync_0000000054,0.16,0.12,0.17,9.04,6.72,-7.13,6
2011_09_26_drive_0001_sync_0000000016,0,-0.11,0,0,0,9.09,2
2011_09_26_drive_0001_sync_0000000105,-0.13,0.18,0.17,-6.21,0,7.64,5
2011_09_26_drive_0001_sync_0000000055,0.13,0,0,0,0,9.33,2
2011_09_26_drive_0001_sync_0000000036,0.2,0.16,0.14,-5.25,0,-8.02,5
2011_09_26_drive_0001_sync_0000000066,0,0.11,0,-8.71,0,0,2
