name,x,y,z,theta_rad1,theta_rad2,theta_rad3,n
2011_09_26_drive_0009_sync_0000000292,0.0,0.01,-0.01,-0.14,0,0,4
2011_09_26_drive_0009_sync_0000000326,0,0,0,0,0,0.24,1
2011_09_26_drive_0009_sync_0000000221,0,-0.01,0,0.28,0,0,2
2011_09_26_drive_0009_sync_0000000048,0,0,0,0,0,0.15,1
2011_09_26_drive_0009_sync_0000000195,-0.01,0.0,-0.01,-0.42,-0.38,0,5
2011_09_26_drive_0009_sync_0000000143,0,0,0.0,0,0,0,1
2011_09_26_drive_0009_sync_0000000069,-0.01,0,0,0.12,-0.35,-0.13,4
2011_09_26_drive_0009_sync_0000000099,-0.0,0.01,-0.0,-0.26,-0.41,0.03,6
2011_09_26_drive_0009_sync_0000000432,0,-0.0,0,-0.01,0.42,-0.03,4
2011_09_26_drive_0009_sync_0000000347,0,-0.0,0,-0.37,0.13,0.1,4
2011_09_26_drive_0009_sync_0000000408,0,0,0,0,0,0,0
2011_09_26_drive_0009_sync_0000000424,0,0,0.01,0,0,0,1
2011_09_26_drive_0009_sync_0000000371,-0.01,-0.01,-0.01,0.18,0.28,-0.34,6
2011_09_26_drive_0009_sync_0000000399,0.0,0.0,-0.01,0,-0.1,-0.12,5
2011_09_26_drive_0009_sync_0000000220,-0.0,-0.01,0.0,0.17,0.01,0.32,6
2011_09_26_drive_0009_sync_0000000418,0,0.0,0,0,0.07,0.01,3
2011_09_26_drive_0009_sync_0000000387,-0.0,-0.01,0.01,0.4,0.08,0,5
2011_09_26_drive_0009_sync_0000000273,0,0,0,0,0,0,0
2011_09_26_drive_0009_sync_0000000218,0,0,0,0,0,0,0
2011_09_26_drive_0009_sync_0000000010,0,0,0,0,0,0.42,1
2011_09_26_drive_0009_sync_0000000159,0,0,0,0,0,0,0
2011_09_26_drive_0009_sync_0000000138,0,0,0,0,0,0,0
2011_09_26_drive_0009_sync_0000000412,0.0,0,0,-0.38,0.06,0,3
2011_09_26_drive_0009_sync_0000000165,0,0.01,0,-0.01,-0.03,0,3
2011_09_26_drive_0009_sync_0000000226,0.0,0.0,0.01,-0.42,0.04,-0.14,6
2011_09_26_drive_0009_sync_0000000330,0,0,-0.01,0.04,0.37,0,3
