name,x,y,z,theta_rad1,theta_rad2,theta_rad3,n
2011_09_26_drive_0009_sync_0000000292,0.0,0,-0.0,2.77,-3.57,-4.11,2
2011_09_26_drive_0009_sync_0000000326,-0.0,0.0,-0.0,2.95,4.56,-3.13,3
2011_09_26_drive_0009_sync_0000000221,0,-0.0,-0.0,-4.82,3.05,2.41,2
2011_09_26_drive_0009_sync_0000000048,-0.0,0,0,2.91,-2.74,3.67,1
2011_09_26_drive_0009_sync_0000000195,0,-0.0,0.0,-3.63,-2.88,2.27,2
2011_09_26_drive_0009_sync_0000000143,0.0,0.0,0.0,2.57,-2.85,-3.86,3
2011_09_26_drive_0009_sync_0000000069,-0.0,0.0,0,4.93,4.93,-3.27,2
2011_09_26_drive_0009_sync_0000000099,0,0,0.0,-4.18,-2.2,-2.19,1
2011_09_26_drive_0009_sync_0000000432,0,0,-0.0,2.17,4.78,-3.25,1
2011_09_26_drive_0009_sync_0000000347,0.0,0.0,0.0,-4.99,-4.85,3.04,3
2011_09_26_drive_0009_sync_0000000408,0.0,-0.0,-0.0,3.84,-4.21,4.05,3
2011_09_26_drive_0009_sync_0000000424,0.0,-0.0,0,4.09,2.28,4.31,2
2011_09_26_drive_0009_sync_0000000371,-0.0,-0.0,0.0,-2.89,-2.96,2.95,3
2011_09_26_drive_0009_sync_0000000399,0.0,-0.0,-0.0,4.05,3.02,2.98,3
2011_09_26_drive_0009_sync_0000000220,-0.0,0,0,-4.2,4.4,2.06,1
2011_09_26_drive_0009_sync_0000000418,-0.0,0,0,-2.18,-3.66,3.03,1
2011_09_26_drive_0009_sync_0000000387,0,0.0,0,-2.41,-3.92,-2.0,1
2011_09_26_drive_0009_sync_0000000273,-0.0,-0.0,0,-3.18,-4.76,-2.09,2
2011_09_26_drive_0009_sync_0000000218,0,0,-0.0,-3.62,-2.77,3.72,1
2011_09_26_drive_0009_sync_0000000010,0,0.0,0.0,4.53,4.7,3.52,2
2011_09_26_drive_0009_sync_0000000159,0,0,-0.0,4.59,-4.48,3.68,1
2011_09_26_drive_0009_sync_0000000138,-0.0,0,0.0,4.04,-3.21,-3.45,2
2011_09_26_drive_0009_sync_0000000412,0.0,0.0,-0.0,2.4,-4.6,3.61,3
2011_09_26_drive_0009_sync_0000000165,-0.0,0,0,2.61,3.22,-3.74,1
2011_09_26_drive_0009_sync_0000000226,0,0.0,0,-2.35,-2.75,-3.64,1
2011_09_26_drive_0009_sync_0000000330,0,-0.0,-0.0,-3.14,4.27,2.6,2
2011_09_26_drive_0009_sync_0000000173,-0.0,-0.0,0.0,-4.24,-4.2,-2.33,3
2011_09_26_drive_0009_sync_0000000153,-0.0,0.0,0.0,-2.3,2.98,-4.5,3
2011_09_26_drive_0009_sync_0000000231,0,0.0,0,2.24,-2.21,4.85,1
2011_09_26_drive_0009_sync_0000000029,0.0,-0.0,-0.0,2.22,2.91,2.19,3
2011_09_26_drive_0009_sync_0000000135,0.0,0,0,-3.48,2.32,-4.95,1
2011_09_26_drive_0009_sync_0000000246,0.0,-0.0,0,4.96,-4.51,-2.85,2
2011_09_26_drive_0009_sync_0000000176,0.0,0.0,0,-2.49,2.4,-4.3,2
2011_09_26_drive_0009_sync_0000000269,-0.0,0,0,-4.02,4.7,3.65,1
