name,x,y,z,theta_rad1,theta_rad2,theta_rad3,n
01_001070,-0.0,0,-0.01,0,-0.16,0,3
01_000207,0,0,0,-0.02,0,0,1
01_000886,0,0,0,0.12,0,0,1
01_000486,0.01,0,0,0,0.28,0,2
01_001036,0.01,0,-0.01,0,0,-0.3,3
01_000212,0,-0.0,0.0,-0.04,0,0.17,4
01_000565,0.01,-0.0,-0.01,-0.08,-0.25,-0.25,6
01_000417,0.01,0.01,-0.0,0.26,-0.18,0.03,6
01_000364,0,0.01,0.01,0,0.15,0.27,4
01_000661,0,0,0,0,0,0,0
01_000521,0.01,0.0,-0.0,0.14,0.13,-0.12,6
01_000645,0,0.0,0,0,0,0,1
01_000665,-0.0,0.01,-0.01,0.19,-0.07,-0.26,6
01_000098,0.0,0,0,0,0,0,1
01_000490,0.01,-0.01,0.02,-0.09,0.19,0.21,6
01_000302,-0.0,-0.01,0.0,-0.27,-0.22,0.18,6
01_000322,0.02,0,0,0.05,0,-0.01,3
01_000329,-0.02,0.0,-0.01,-0.28,-0.08,0.29,6
01_000204,0.01,0,-0.01,0.28,0,-0.17,4
01_000047,0,0.01,0,-0.06,0.2,0.2,4
01_000141,0.02,0,0,0.25,0.21,0,3
01_000209,0,0,0,-0.18,0.01,0,2
01_000482,0,0,0.0,0,0,0,1
01_000592,0.0,-0.02,-0.01,0.28,0.2,-0.18,6
01_000112,-0.01,0,0,-0.01,-0.09,0,3
01_000561,-0.0,0.0,0.01,-0.01,-0.07,0.17,6
01_000637,-0.01,0,0,0,0,0,1
01_000089,0,0,-0.0,0,0,0,1
01_000077,0,-0.01,0.01,0,-0.05,0,3
01_000142,0,0,0,0,0,0.28,1
01_000823,-0.01,-0.0,0.01,0.08,0.24,0,5
01_000190,-0.02,0,0,0.21,0.2,0.07,4
01_000693,0,0,0,0,0,0,0
01_000753,0.0,0.0,0,-0.29,-0.11,-0.2,5
01_000388,0,-0.01,0,0,0,0,1
01_000227,0,0,0,0,-0.16,0,1
01_000719,0,-0.0,0,-0.2,-0.03,-0.19,4
01_000163,0,0.02,0,0,0.26,0.21,3
01_001022,0.01,0.01,0,-0.22,0,-0.24,4
01_000041,0,0,0.01,0,0.25,0,2
01_000390,-0.01,0,0.02,0.09,-0.23,-0.28,5
01_000562,-0.0,-0.02,0.01,-0.15,0.05,-0.07,6
01_000506,-0.01,-0.01,0,0,-0.06,0.29,4
01_000512,0,0,0.02,0,0,0,1
01_000239,0.01,0,0,0,-0.06,0.17,3
01_000374,0,0,0.01,0,-0.25,-0.11,3
01_001063,0,0,0,-0.25,0,0,1
01_000413,0,0,0.01,-0.23,0,0,2
01_000357,-0.01,0.02,-0.02,0.09,0.12,-0.12,6
01_000432,0,0,0.0,0.22,0,0,2
01_000779,0,0.0,0,0,0.26,0,2
01_000265,0,0,0,0.23,0,-0.28,2
01_000240,0.0,-0.0,-0.01,-0.07,0.13,-0.01,6
01_001062,-0.01,0.02,-0.02,0,0,0.08,4
01_000015,0.01,0.0,-0.02,-0.1,-0.12,-0.02,6
01_000387,0,0,0,0,0,0,0
01_000959,-0.01,0.01,0.0,0,0,0.06,4
01_000894,-0.01,-0.01,0.02,0.12,-0.06,-0.04,6
01_000126,0,0,0,0,0.24,0.07,2
01_001046,0,0,0,0,0,0,0
01_000042,0,0,0,0,0.21,0,1
01_000520,0.01,0.01,0,0.29,0,0,3
01_000037,-0.0,0,0,0,0,-0.23,2
01_000667,0,0,-0.02,0,0,-0.02,2
01_000776,0,-0.02,0,0,0,0,1
01_000857,-0.02,-0.01,0.01,0,0.22,0,4
01_000139,0,0,0,0,0,0,0
01_000718,0,0,0,-0.16,0.2,0.17,3
01_000399,-0.01,-0.01,-0.0,0,0.02,-0.27,5
01_000844,0.02,0,-0.02,0.14,0.09,-0.19,5
01_000852,-0.02,0.01,0.02,0,0.13,0.06,5
01_000301,0,-0.0,0,0.15,0,0,2
01_000104,0.01,0.0,0,0,0.26,0.02,4
01_001079,0,0,0,0,0,0,0
01_000457,-0.01,0.0,-0.02,0.22,-0.01,-0.12,6
01_000254,0,0,0,-0.18,-0.21,0,2
01_000007,-0.01,0.02,-0.01,-0.02,0.28,-0.28,6
01_000717,0.01,0.0,0,0.08,0.29,0,4
01_001021,0,0,0,0,0,0,0
01_000101,0,0,0.01,0,0,0,1
01_000784,0.01,0,0.01,0,0,0,2
01_001086,0.02,0,-0.01,0,-0.09,0,3
01_000267,0,-0.02,0,0.24,0.07,0,3
01_000284,0,0,0,0,0,-0.05,1
01_000241,0,0,0,0,0,0,0
01_000040,-0.01,0,0,0,0,0,1
