name,x,y,z,theta_rad1,theta_rad2,theta_rad3,n
01_001070,0.07,0,0,4.21,1.14,-0.86,4
01_000207,0,0.07,-0.08,0,2.01,0,3
01_000886,-0.07,-0.08,0.08,0,0,2.0,4
01_000486,0.05,-0.06,0.06,2.04,3.48,-4.44,6
01_001036,0.05,-0.06,0.06,3.89,0,-3.43,5
01_000212,-0.07,0.06,0.08,-4.28,0.78,2.6,6
01_000565,0.07,0,-0.06,0,0,4.78,3
01_000417,0.1,-0.09,-0.1,3.91,-4.18,-2.55,6
01_000364,0.07,-0.08,0.09,-4.89,2.87,4.81,6
01_000661,0,0,0,0,-2.77,0,1
01_000521,0,0,0,-2.26,0,0,1
01_000645,0.06,-0.05,0,2.38,3.91,1.75,5
01_000665,0,0,0.04,-2.01,0,0,2
01_000098,0,0,-0.04,0,0,0,1
01_000490,0,-0.09,0,0,0,0,1
01_000302,0.07,0.07,0.08,3.75,0,-4.7,5
01_000322,0.09,0,-0.04,-2.68,0.79,2.27,5
01_000329,0,0,0.09,3.72,-4.14,-2.87,4
01_000204,0,0,0,0,3.33,0,1
01_000047,0,0.08,0.04,4.95,3.95,-4.5,5
01_000141,-0.05,0.06,0,0.53,3.98,0,4
01_000209,0,0.09,0,0,0,-3.06,2
01_000482,0,-0.05,0,0,0,0,1
01_000592,0,0.09,-0.05,-4.4,-1.8,1.63,5
01_000112,0.05,-0.06,0.08,4.53,-1.82,2.18,6
01_000561,-0.05,0,-0.1,4.08,-4.86,-4.42,5
01_000637,0,0.07,0.06,0.72,0,-0.67,4
01_000089,0,-0.08,0,0,0,0,1
01_000077,0,0.05,-0.05,4.6,-1.82,0,4
01_000142,0,-0.06,0,0,3.71,2.95,3
01_000823,0.1,-0.06,-0.07,0.69,-4.88,0,5
01_000190,0,0,0,0,0,-4.58,1
01_000693,-0.05,0,0.05,0.89,0,4.36,4
01_000753,0,-0.05,0.07,-2.07,1.07,3.38,5
01_000388,0,-0.05,0.07,1.79,3.39,0,4
01_000227,-0.04,0.07,-0.1,0,-3.86,-4.42,5
01_000719,0,0,-0.06,0,0,0,1
01_000163,-0.06,0.05,0.04,-4.0,0,-0.6,5
01_001022,-0.04,0,-0.1,2.7,4.01,4.27,5
01_000041,0,0,0,2.51,2.78,-2.57,3
01_000390,0,-0.07,-0.07,-4.59,-2.81,0,4
01_000562,0.09,-0.06,-0.07,2.92,4.78,1.47,6
01_000506,0,0,0,2.71,0,0,1
01_000512,-0.07,0,0,4.54,0,-0.94,3
01_000239,-0.07,0.04,0,-2.28,-2.31,0,4
01_000374,-0.05,0,0,2.58,0.69,-3.87,4
01_001063,0.07,-0.06,0.07,-1.44,3.05,4.56,6
01_000413,0,0,0.09,-1.92,0,1.25,3
01_000357,-0.05,0,0,0.75,4.77,0,3
01_000432,0,0,0,-2.06,-0.58,-2.75,3
01_000779,-0.09,0,0,0,2.29,0,2
01_000265,0.08,0.08,0.08,0,3.68,0,4
01_000240,-0.1,0,0,3.55,2.64,0,3
01_001062,0.09,0,0,-1.1,-1.74,0,3
01_000015,0,-0.06,0.07,0,4.68,0,3
01_000387,0,0.09,0,2.85,0,-1.16,3
01_000959,-0.07,0,0.06,4.33,0,-4.39,4
01_000894,0,0.07,0,0,-4.76,-3.3,3
