name,x,y,z,theta_rad1,theta_rad2,theta_rad3,n
2011_09_26_drive_0009_sync_0000000292,0.04,-0.04,-0.05,-0.0,0.0,0.0,3
2011_09_26_drive_0009_sync_0000000326,-0.02,0.05,-0.05,0.0,0.0,0.0,3
2011_09_26_drive_0009_sync_0000000221,0,-0.04,0.05,0.0,-0.0,-0.0,2
2011_09_26_drive_0009_sync_0000000048,0.03,0.04,-0.04,0.0,0.0,-0.0,3
2011_09_26_drive_0009_sync_0000000195,0,0,0.05,-0.0,0.0,0.0,1
2011_09_26_drive_0009_sync_0000000143,0.04,0.04,0,-0.0,0.0,-0.0,2
2011_09_26_drive_0009_sync_0000000069,0,0,-0.05,-0.0,0.0,0.0,1
2011_09_26_drive_0009_sync_0000000099,0.03,-0.02,0,0.0,-0.0,0.0,2
2011_09_26_drive_0009_sync_0000000432,-0.05,-0.02,0.03,-0.0,-0.0,-0.0,3
2011_09_26_drive_0009_sync_0000000347,0,0.03,0.03,0.0,-0.0,-0.0,2
2011_09_26_drive_0009_sync_0000000408,0.03,0.04,0,0.0,0.0,0.0,2
2011_09_26_drive_0009_sync_0000000424,-0.03,0.03,-0.03,0.0,-0.0,0.0,3
2011_09_26_drive_0009_sync_0000000371,0.04,-0.03,-0.04,0.0,-0.0,0.0,3
2011_09_26_drive_0009_sync_0000000399,0,0.03,0,0.0,-0.0,0.0,1
2011_09_26_drive_0009_sync_0000000220,-0.03,0.04,0.03,0.0,-0.0,0.0,3
2011_09_26_drive_0009_sync_0000000418,0.02,-0.04,-0.03,-0.0,0.0,-0.0,3
2011_09_26_drive_0009_sync_0000000387,0.05,0.05,-0.04,0.0,-0.0,0.0,3
2011_09_26_drive_0009_sync_0000000273,0,0,0.05,0.0,-0.0,0.0,1
2011_09_26_drive_0009_sync_0000000218,-0.04,0.04,-0.02,-0.0,0.0,0.0,3
2011_09_26_drive_0009_sync_0000000010,-0.04,-0.05,-0.03,-0.0,0.0,-0.0,3
2011_09_26_drive_0009_sync_0000000159,0.04,-0.03,-0.04,0.0,-0.0,0.0,3
2011_09_26_drive_0009_sync_0000000138,0.05,0,0.03,-0.0,0.0,-0.0,2
2011_09_26_drive_0009_sync_0000000412,-0.02,0,-0.03,-0.0,-0.0,-0.0,2
2011_09_26_drive_0009_sync_0000000165,0,0.04,-0.03,-0.0,-0.0,0.0,2
2011_09_26_drive_0009_sync_0000000226,0,0,-0.04,0.0,0.0,-0.0,1
