name,x,y,z,theta_rad1,theta_rad2,theta_rad3,n
2011_09_26_drive_0001_sync_0000000048,0,0.1,0,-4.32,2.76,0,3
2011_09_26_drive_0001_sync_0000000069,-0.06,-0.06,-0.05,4.16,-3.53,1.15,6
2011_09_26_drive_0001_sync_0000000099,-0.06,-0.1,-0.08,2.8,0,3.25,5
2011_09_26_drive_0001_sync_0000000010,0,0,0.07,0,2.15,0,2
2011_09_26_drive_0001_sync_0000000029,0,0.07,0.08,0,-3.61,0,3
2011_09_26_drive_0001_sync_0000000079,-0.07,0,0.04,0,0,0,2
2011_09_26_drive_0001_sync_0000000074,0.04,0,0,2.13,-4.76,1.57,4
2011_09_26_drive_0001_sync_0000000040,-0.05,0.05,0,-4.52,-1.52,0,4
2011_09_26_drive_0001_sync_0000000090,-0.06,-0.07,0.05,1.75,2.34,0.76,6
2011_09_26_drive_0001_sync_0000000017,0,0,-0.07,0,0,0,1
2011_09_26_drive_0001_sync_0000000095,0,0,0,-0.98,0,0,1
2011_09_26_drive_0001_sync_0000000092,0.09,0,0,-2.43,0,-4.12,3
2011_09_26_drive_0001_sync_0000000103,0,0,0,0,-1.31,0,1
2011_09_26_drive_0001_sync_0000000052,-0.09,-0.1,-0.04,0.88,-1.22,-4.13,6
2011_09_26_drive_0001_sync_0000000044,0.06,0,0,-4.02,0,0,2
2011_09_26_drive_0001_sync_0000000083,-0.05,0,0,0.81,0,1.0,3
2011_09_26_drive_0001_sync_0000000034,0.05,0.07,0.08,1.35,2.99,0,5
2011_09_26_drive_0001_sync_0000000049,0,0,0,0,0,3.41,1
2011_09_26_drive_0001_sync_0000000077,-0.04,0.06,0,-2.32,0,0,3
2011_09_26_drive_0001_sync_0000000054,-0.07,-0.07,-0.05,-4.63,4.39,3.89,6
2011_09_26_drive_0001_sync_0000000016,0.07,0.07,0,4.0,4.32,1.69,5
2011_09_26_drive_0001_sync_0000000105,0.08,-0.05,-0.08,0,-4.34,1.56,5
2011_09_26_drive_0001_sync_0000000055,-0.06,-0.09,0,2.27,-3.83,2.59,5
2011_09_26_drive_0001_sync_0000000036,-0.08,-0.07,-0.09,-3.52,-1.85,0.7,6
2011_09_26_drive_0001_sync_0000000066,0,0,0,-0.94,0,0,1
2011_09_26_drive_0001_sync_0000000094,0,-0.07,0,0,0,0,1
2011_09_26_drive_0001_sync_0000000035,-0.05,-0.05,-0.06,-3.44,0,3.06,5
2011_09_26_drive_0001_sync_0000000050,0.09,0,-0.09,0,0,3.14,3
2011_09_26_drive_0001_sync_0000000100,0,0,-0.08,1.39,0.75,2.6,4
2011_09_26_drive_0001_sync_0000000041,0.06,0.05,0.04,0.67,0,-4.87,5
2011_09_26_drive_0001_sync_0000000084,0.05,0.05,-0.05,0,-2.31,-2.91,5
2011_09_26_drive_0001_sync_0000000042,0,0,-0.1,-1.85,4.75,-1.6,4
2011_09_26_drive_0001_sync_0000000037,-0.08,-0.05,0.1,2.6,0,0,4
2011_09_26_drive_0001_sync_0000000022,0.05,-0.04,-0.08,-4.41,0,0,4
2011_09_26_drive_0001_sync_0000000015,0,0,-0.05,1.15,1.32,-1.79,4
2011_09_26_drive_0001_sync_0000000087,0,0,0,0,2.42,-2.25,2
2011_09_26_drive_0001_sync_0000000043,0,0,-0.09,0,0,1.97,2
2011_09_26_drive_0001_sync_0000000045,0,0,0,0,4.45,3.1,2
2011_09_26_drive_0001_sync_0000000056,-0.09,0,-0.05,0,-1.62,0,3
2011_09_26_drive_0001_sync_0000000006,0,0.06,0,-3.54,0,0,2
2011_09_26_drive_0001_sync_0000000020,0,0,-0.05,0,0,0,1
2011_09_26_drive_0001_sync_0000000038,-0.08,-0.07,0.04,0,-3.06,4.61,5
2011_09_26_drive_0001_sync_0000000070,0,0.06,0.08,-2.41,3.54,1.72,5
2011_09_26_drive_0001_sync_0000000075,0,0,0,1.64,0,0,1
2011_09_26_drive_0001_sync_0000000047,0,0,0,-3.38,0,0,1
2011_09_26_drive_0001_sync_0000000065,0,0,0,4.16,0,0,1
2011_09_26_drive_0001_sync_0000000012,0,-0.09,0,0,0,0,1
2011_09_26_drive_0001_sync_0000000071,-0.06,-0.07,0.09,4.55,-2.21,2.01,6
2011_09_26_drive_0001_sync_0000000013,0,-0.07,0,-0.65,-4.78,-1.71,4
2011_09_26_drive_0001_sync_0000000019,0,0,0.05,0,-2.71,0,2
2011_09_26_drive_0001_sync_0000000039,0,0,0,4.08,0,0,1
