name,x,y,z,theta_rad1,theta_rad2,theta_rad3,n
2011_09_26_drive_0001_sync_0000000048,-0.0,0.0,-0.0,0,-4.94,-3.13,2
2011_09_26_drive_0001_sync_0000000069,0.0,-0.0,-0.0,4.08,-2.22,-2.28,3
2011_09_26_drive_0001_sync_0000000099,-0.0,-0.0,-0.0,4.25,3.29,4.62,3
2011_09_26_drive_0001_sync_0000000010,0.0,-0.0,0.0,-2.23,3.96,-3.94,3
2011_09_26_drive_0001_sync_0000000029,0.0,-0.0,0.0,-4.34,-2.24,-3.16,3
2011_09_26_drive_0001_sync_0000000079,0.0,0.0,0.0,-4.05,0,0,1
2011_09_26_drive_0001_sync_0000000074,-0.0,-0.0,0.0,-4.09,-3.55,-3.22,3
2011_09_26_drive_0001_sync_0000000040,-0.0,-0.0,0.0,2.2,3.67,4.17,3
2011_09_26_drive_0001_sync_0000000090,-0.0,0.0,-0.0,0,0,-2.44,1
2011_09_26_drive_0001_sync_0000000017,-0.0,0.0,0.0,-4.2,0,-3.17,2
2011_09_26_drive_0001_sync_0000000095,-0.0,-0.0,-0.0,3.6,-4.69,0,2
2011_09_26_drive_0001_sync_0000000092,-0.0,-0.0,-0.0,0,0,-3.79,1
2011_09_26_drive_0001_sync_0000000103,0.0,-0.0,-0.0,4.8,0,0,1
2011_09_26_drive_0001_sync_0000000052,-0.0,0.0,-0.0,0,2.87,0,1
2011_09_26_drive_0001_sync_0000000044,0.0,0.0,-0.0,-2.26,0,3.9,2
2011_09_26_drive_0001_sync_0000000083,-0.0,0.0,0.0,-2.7,-2.1,2.22,3
2011_09_26_drive_0001_sync_0000000034,-0.0,-0.0,0.0,-3.49,-2.51,-2.72,3
2011_09_26_drive_0001_sync_0000000049,-0.0,0.0,0.0,0,-4.98,3.91,2
2011_09_26_drive_0001_sync_0000000077,-0.0,-0.0,0.0,3.89,4.75,0,2
2011_09_26_drive_0001_sync_0000000054,-0.0,0.0,0.0,2.92,-4.87,-2.08,3
