name,x,y,z,theta_rad1,theta_rad2,theta_rad3,n
2011_09_26_drive_0009_sync_0000000292,0,0.1,0,-0.0,-0.0,-0.0,1
2011_09_26_drive_0009_sync_0000000326,-0.1,-0.05,-0.09,0.0,-0.0,0.0,3
2011_09_26_drive_0009_sync_0000000221,0,-0.07,0,0.0,-0.0,0.0,1
2011_09_26_drive_0009_sync_0000000048,0,-0.08,0,-0.0,0.0,-0.0,1
2011_09_26_drive_0009_sync_0000000195,-0.07,-0.06,0,-0.0,0.0,0.0,2
2011_09_26_drive_0009_sync_0000000143,0.08,-0.06,0,-0.0,0.0,0.0,2
2011_09_26_drive_0009_sync_0000000069,0,0,-0.08,0.0,-0.0,0.0,1
2011_09_26_drive_0009_sync_0000000099,-0.06,-0.1,0.07,-0.0,-0.0,0.0,3
2011_09_26_drive_0009_sync_0000000432,0.07,0.08,-0.08,0.0,-0.0,-0.0,3
2011_09_26_drive_0009_sync_0000000347,0,0,-0.09,0.0,0.0,-0.0,1
2011_09_26_drive_0009_sync_0000000408,0,0.08,-0.1,-0.0,-0.0,0.0,2
2011_09_26_drive_0009_sync_0000000424,0.06,-0.07,0,0.0,0.0,0.0,2
2011_09_26_drive_0009_sync_0000000371,-0.06,0.05,0.1,0.0,0.0,0.0,3
2011_09_26_drive_0009_sync_0000000399,-0.06,0.08,0,-0.0,-0.0,0.0,2
2011_09_26_drive_0009_sync_0000000220,0.1,0,0,0.0,-0.0,0.0,1
2011_09_26_drive_0009_sync_0000000418,-0.08,0.07,0.05,0.0,-0.0,-0.0,3
2011_09_26_drive_0009_sync_0000000387,-0.09,0.06,-0.07,0.0,0.0,0.0,3
2011_09_26_drive_0009_sync_0000000273,-0.07,0.06,0.1,-0.0,-0.0,0.0,3
2011_09_26_drive_0009_sync_0000000218,0,0.09,0,0.0,-0.0,-0.0,1
2011_09_26_drive_0009_sync_0000000010,-0.09,-0.07,0,0.0,-0.0,0.0,2
2011_09_26_drive_0009_sync_0000000159,0,-0.07,0.07,0.0,0.0,-0.0,2
2011_09_26_drive_0009_sync_0000000138,0.09,-0.09,0.07,-0.0,0.0,-0.0,3
2011_09_26_drive_0009_sync_0000000412,0,0,0.07,0.0,-0.0,0.0,1
2011_09_26_drive_0009_sync_0000000165,0.08,0,0,-0.0,-0.0,0.0,1
2011_09_26_drive_0009_sync_0000000226,0,0.09,0.08,-0.0,0.0,0.0,2
2011_09_26_drive_0009_sync_0000000330,-0.09,-0.07,0.09,0.0,0.0,0.0,3
2011_09_26_drive_0009_sync_0000000173,0,-0.07,0.09,-0.0,0.0,-0.0,2
2011_09_26_drive_0009_sync_0000000153,0.09,0.07,0.06,0.0,-0.0,0.0,3
2011_09_26_drive_0009_sync_0000000231,0,-0.09,0,0.0,-0.0,-0.0,1
2011_09_26_drive_0009_sync_0000000029,-0.06,0.06,-0.09,0.0,-0.0,-0.0,3
2011_09_26_drive_0009_sync_0000000135,0.09,0,0,-0.0,-0.0,-0.0,1
2011_09_26_drive_0009_sync_0000000246,-0.06,0,0,-0.0,0.0,0.0,1
2011_09_26_drive_0009_sync_0000000176,-0.08,0,0,0.0,-0.0,0.0,1
2011_09_26_drive_0009_sync_0000000269,-0.08,0.07,0,-0.0,0.0,-0.0,2
2011_09_26_drive_0009_sync_0000000397,0,0.08,0,0.0,0.0,-0.0,1
2011_09_26_drive_0009_sync_0000000079,0.07,0.06,0.06,0.0,-0.0,0.0,3
2011_09_26_drive_0009_sync_0000000362,0,0,0.06,-0.0,-0.0,-0.0,1
2011_09_26_drive_0009_sync_0000000332,0.08,0.1,-0.06,-0.0,-0.0,0.0,3
2011_09_26_drive_0009_sync_0000000074,-0.07,0.07,-0.09,-0.0,0.0,-0.0,3
2011_09_26_drive_0009_sync_0000000228,0,-0.06,0.07,0.0,0.0,-0.0,2
2011_09_26_drive_0009_sync_0000000385,0.1,-0.05,0.09,-0.0,0.0,-0.0,3
2011_09_26_drive_0009_sync_0000000128,-0.1,0.05,0,-0.0,0.0,0.0,2
