name,x,y,z,theta_rad1,theta_rad2,theta_rad3,n
2011_09_26_drive_0001_sync_0000000048,0.15,-0.13,0.12,-0.0,0.0,-0.0,6
2011_09_26_drive_0001_sync_0000000069,0.13,-0.14,-0.13,-0.0,-0.0,-0.0,6
2011_09_26_drive_0001_sync_0000000099,0.1,-0.13,0.11,0.0,-0.0,-0.0,6
2011_09_26_drive_0001_sync_0000000010,0.1,0.12,-0.11,-0.0,0.0,0.0,6
2011_09_26_drive_0001_sync_0000000029,0.15,0,0.15,-0.0,-0.0,-0.0,5
2011_09_26_drive_0001_sync_0000000079,0.11,-0.14,-0.1,0,-0.0,-0.0,5
2011_09_26_drive_0001_sync_0000000074,0.1,0.13,0.14,0.0,0,0.0,5
2011_09_26_drive_0001_sync_0000000040,0.14,0.13,0.14,0.0,0.0,0,5
2011_09_26_drive_0001_sync_0000000090,-0.15,0,0.13,0.0,0.0,-0.0,5
2011_09_26_drive_0001_sync_0000000017,0.14,0,0.1,0,0.0,0.0,4
2011_09_26_drive_0001_sync_0000000095,-0.13,0.12,0.11,-0.0,0.0,0.0,6
2011_09_26_drive_0001_sync_0000000092,0.13,0.14,-0.14,0.0,-0.0,-0.0,6
2011_09_26_drive_0001_sync_0000000103,0,-0.13,0.13,-0.0,-0.0,0,4
2011_09_26_drive_0001_sync_0000000052,0.15,-0.15,-0.1,-0.0,0.0,0,5
2011_09_26_drive_0001_sync_0000000044,0,0.15,0.13,-0.0,-0.0,0,4
2011_09_26_drive_0001_sync_0000000083,-0.1,-0.14,0.12,0,-0.0,0.0,5
2011_09_26_drive_0001_sync_0000000034,0.1,0.11,-0.14,-0.0,-0.0,-0.0,6
2011_09_26_drive_0001_sync_0000000049,0,-0.11,0.12,-0.0,0.0,0.0,5
2011_09_26_drive_0001_sync_0000000077,0,-0.14,0,-0.0,0.0,0.0,4
2011_09_26_drive_0001_sync_0000000054,-0.13,0,0.11,0.0,0.0,-0.0,5
2011_09_26_drive_0001_sync_0000000016,0.1,0.14,0.12,-0.0,0.0,-0.0,6
2011_09_26_drive_0001_sync_0000000105,-0.13,-0.13,-0.12,-0.0,-0.0,-0.0,6
2011_09_26_drive_0001_sync_0000000055,-0.13,-0.1,-0.14,0.0,0.0,0.0,6
2011_09_26_drive_0001_sync_0000000036,0.12,0,0.11,-0.0,0,-0.0,4
2011_09_26_drive_0001_sync_0000000066,-0.14,-0.11,0,0,-0.0,0.0,4
2011_09_26_drive_0001_sync_0000000094,-0.13,0,0,0.0,-0.0,-0.0,4
2011_09_26_drive_0001_sync_0000000035,-0.14,-0.11,-0.15,0,0,-0.0,4
2011_09_26_drive_0001_sync_0000000050,0.14,0.11,0.13,-0.0,-0.0,-0.0,6
2011_09_26_drive_0001_sync_0000000100,-0.11,0.13,-0.15,-0.0,0.0,0,5
2011_09_26_drive_0001_sync_0000000041,0.12,-0.13,-0.15,0.0,0.0,-0.0,6
2011_09_26_drive_0001_sync_0000000084,0,-0.1,0,0.0,-0.0,0.0,4
2011_09_26_drive_0001_sync_0000000042,0.12,0.1,-0.11,0.0,0.0,0.0,6
2011_09_26_drive_0001_sync_0000000037,-0.12,-0.1,-0.14,0.0,0.0,0.0,6
2011_09_26_drive_0001_sync_0000000022,-0.1,0.12,-0.12,-0.0,0,0.0,5
2011_09_26_drive_0001_sync_0000000015,0,-0.1,0.11,0.0,0.0,-0.0,5
2011_09_26_drive_0001_sync_0000000087,0,0.11,0.13,-0.0,-0.0,0.0,5
2011_09_26_drive_0001_sync_0000000043,-0.13,-0.11,-0.13,0.0,0,0,4
2011_09_26_drive_0001_sync_0000000045,-0.13,-0.12,0.11,0.0,-0.0,0,5
2011_09_26_drive_0001_sync_0000000056,0.13,0.15,-0.12,0.0,0,-0.0,5
2011_09_26_drive_0001_sync_0000000006,0.1,0,0.11,-0.0,-0.0,0,4
2011_09_26_drive_0001_sync_0000000020,-0.13,0.1,-0.14,-0.0,-0.0,0.0,6
2011_09_26_drive_0001_sync_0000000038,0.15,0.1,-0.12,0,-0.0,0.0,5
2011_09_26_drive_0001_sync_0000000070,0,-0.14,-0.14,0.0,0.0,0.0,5
2011_09_26_drive_0001_sync_0000000075,0.13,-0.13,-0.12,-0.0,0.0,-0.0,6
2011_09_26_drive_0001_sync_0000000047,0.14,0,-0.1,-0.0,-0.0,0.0,5
2011_09_26_drive_0001_sync_0000000065,0.12,0,0.11,0.0,-0.0,0.0,5
2011_09_26_drive_0001_sync_0000000012,0.12,0.11,0.13,0.0,0.0,0.0,6
2011_09_26_drive_0001_sync_0000000071,0,0.13,-0.14,0.0,0.0,0,4
2011_09_26_drive_0001_sync_0000000013,-0.14,0.12,-0.13,0.0,-0.0,0.0,6
2011_09_26_drive_0001_sync_0000000019,0.13,-0.13,0.11,-0.0,-0.0,0.0,6
2011_09_26_drive_0001_sync_0000000039,0.13,0.12,0,0,0.0,-0.0,4
2011_09_26_drive_0001_sync_0000000059,-0.12,-0.1,0.11,-0.0,0,0,4
2011_09_26_drive_0001_sync_0000000027,-0.11,0.14,0.13,0,-0.0,0,4
2011_09_26_drive_0001_sync_0000000104,0.12,-0.12,0.12,-0.0,0.0,-0.0,6
2011_09_26_drive_0001_sync_0000000082,0.13,0,-0.12,-0.0,0,0.0,4
2011_09_26_drive_0001_sync_0000000060,-0.1,0.1,0,0,0.0,0.0,4
2011_09_26_drive_0001_sync_0000000086,-0.14,0,-0.14,0.0,0.0,-0.0,5
2011_09_26_drive_0001_sync_0000000007,0,-0.13,-0.1,-0.0,0.0,0,4
2011_09_26_drive_0001_sync_0000000102,-0.14,0.14,0.13,0.0,0.0,0,5
2011_09_26_drive_0001_sync_0000000011,-0.13,-0.11,-0.14,-0.0,0,-0.0,5
2011_09_26_drive_0001_sync_0000000088,-0.14,-0.13,-0.1,-0.0,0.0,0,5
2011_09_26_drive_0001_sync_0000000076,-0.13,0,-0.12,0,-0.0,0.0,4
2011_09_26_drive_0001_sync_0000000093,0.13,0.13,-0.15,0.0,0.0,0.0,6
2011_09_26_drive_0001_sync_0000000062,0.12,0.13,0.14,-0.0,0,0.0,5
2011_09_26_drive_0001_sync_0000000106,0,0,0.11,0.0,-0.0,0.0,4
2011_09_26_drive_0001_sync_0000000080,0,0,0.13,0.0,0.0,0.0,4
2011_09_26_drive_0001_sync_0000000032,0,0,-0.12,0.0,0.0,-0.0,4
2011_09_26_drive_0001_sync_0000000026,0.13,0.11,0.14,0.0,0.0,0.0,6
2011_09_26_drive_0001_sync_0000000023,0.12,0.13,0.12,-0.0,0.0,0.0,6
2011_09_26_drive_0001_sync_0000000091,0.13,0.13,-0.12,-0.0,-0.0,-0.0,6
2011_09_26_drive_0001_sync_0000000005,0.14,0.11,-0.13,0,-0.0,-0.0,5
2011_09_26_drive_0001_sync_0000000018,-0.15,-0.1,0.11,0.0,-0.0,-0.0,6
2011_09_26_drive_0001_sync_0000000101,0,0.13,0.13,0.0,0.0,-0.0,5
2011_09_26_drive_0001_sync_0000000081,0,0,-0.13,0.0,-0.0,0.0,4
2011_09_26_drive_0001_sync_0000000073,0.1,0.11,0,0.0,0,-0.0,4
2011_09_26_drive_0001_sync_0000000098,0.14,-0.14,0.13,-0.0,0.0,0.0,6
2011_09_26_drive_0001_sync_0000000085,0.15,0.14,-0.1,0,0.0,0.0,5
2011_09_26_drive_0001_sync_0000000051,0.12,-0.14,0.14,0.0,-0.0,0.0,6
2011_09_26_drive_0001_sync_0000000068,0.13,-0.15,-0.13,-0.0,0.0,0.0,6
2011_09_26_drive_0001_sync_0000000025,0.14,-0.15,-0.11,0,0,0.0,4
2011_09_26_drive_0001_sync_0000000024,0.12,0.11,-0.13,-0.0,0.0,0.0,6
2011_09_26_drive_0001_sync_0000000030,0.1,0.11,-0.11,0,0,-0.0,4
2011_09_26_drive_0001_sync_0000000058,0.11,0,-0.14,0.0,0.0,0.0,5
2011_09_26_drive_0001_sync_0000000002,-0.1,-0.11,0.12,-0.0,-0.0,0.0,6
2011_09_26_drive_0001_sync_0000000072,0.14,0.13,0.13,0.0,0.0,0.0,6
2011_09_26_drive_0001_sync_0000000001,0.11,0,-0.11,-0.0,0,-0.0,4
2011_09_26_drive_0001_sync_0000000008,-0.14,0,-0.11,0.0,-0.0,0.0,5
2011_09_26_drive_0001_sync_0000000057,0.15,-0.15,0.11,0.0,-0.0,-0.0,6
2011_09_26_drive_0001_sync_0000000009,0,-0.1,0,-0.0,0.0,-0.0,4
2011_09_26_drive_0001_sync_0000000078,-0.1,0,-0.14,-0.0,-0.0,0.0,5
2011_09_26_drive_0001_sync_0000000004,0,0.13,0,0.0,0.0,0.0,4
2011_09_26_drive_0001_sync_0000000014,-0.14,0,0.12,0.0,0,-0.0,4
2011_09_26_drive_0001_sync_0000000021,-0.11,0,-0.1,0.0,0.0,0.0,5
2011_09_26_drive_0001_sync_0000000107,-0.12,-0.12,-0.13,0.0,0.0,-0.0,6
2011_09_26_drive_0001_sync_0000000028,0.11,0.1,0,0.0,-0.0,0,4
2011_09_26_drive_0001_sync_0000000053,0,0,0.12,0.0,0.0,-0.0,4
2011_09_26_drive_0001_sync_0000000063,-0.13,0.15,0.13,0,0.0,-0.0,5
2011_09_26_drive_0001_sync_0000000067,0.1,0.12,0.13,0,-0.0,0,4
2011_09_26_drive_0001_sync_0000000097,0.11,-0.11,0.12,0,0.0,-0.0,5
2011_09_26_drive_0001_sync_0000000033,0.12,0.14,0,-0.0,0,0.0,4
2011_09_26_drive_0001_sync_0000000031,0.1,-0.12,0.11,0.0,0.0,-0.0,6
2011_09_26_drive_0001_sync_0000000064,-0.13,0.12,0,-0.0,0,-0.0,4
2011_09_26_drive_0001_sync_0000000003,0.12,-0.12,0.12,0,0.0,0,4
2011_09_26_drive_0001_sync_0000000089,-0.13,-0.13,0,0.0,-0.0,-0.0,5
2011_09_26_drive_0001_sync_0000000061,-0.1,-0.15,0,0,0.0,-0.0,4
2011_09_26_drive_0001_sync_0000000046,-0.13,0.11,0.15,0.0,-0.0,-0.0,6
2011_09_26_drive_0001_sync_0000000096,-0.13,0.14,-0.15,0.0,-0.0,0.0,6
2011_09_26_drive_0001_sync_0000000000,0,-0.13,-0.15,-0.0,0.0,0,4
2011_09_26_drive_0002_sync_0000000048,0,0,0.15,-0.0,0.0,0.0,4
2011_09_26_drive_0002_sync_0000000069,0,-0.11,0.14,-0.0,0,-0.0,4
2011_09_26_drive_0002_sync_0000000010,-0.11,0.1,0.11,0.0,-0.0,0.0,6
2011_09_26_drive_0002_sync_0000000029,0.13,-0.11,0,0,0.0,-0.0,4
2011_09_26_drive_0002_sync_0000000074,-0.14,0.1,-0.13,-0.0,0.0,0.0,6
2011_09_26_drive_0002_sync_0000000040,0.14,0,0.12,-0.0,0,0.0,4
2011_09_26_drive_0002_sync_0000000017,-0.15,-0.1,0.14,0.0,-0.0,-0.0,6
2011_09_26_drive_0002_sync_0000000052,0.13,0.13,0.12,-0.0,-0.0,0.0,6
2011_09_26_drive_0002_sync_0000000044,0.12,0.12,-0.14,-0.0,0,0,4
2011_09_26_drive_0002_sync_0000000034,-0.12,-0.11,0,0,0.0,-0.0,4
2011_09_26_drive_0002_sync_0000000049,0,0.12,-0.11,-0.0,-0.0,0,4
2011_09_26_drive_0002_sync_0000000054,-0.11,0.11,0,0.0,-0.0,0.0,5
2011_09_26_drive_0002_sync_0000000016,0.14,-0.1,0,-0.0,-0.0,-0.0,5
2011_09_26_drive_0002_sync_0000000055,0.13,0,0.13,0.0,0,-0.0,4
2011_09_26_drive_0002_sync_0000000036,0.15,0.11,-0.13,-0.0,0.0,0.0,6
2011_09_26_drive_0002_sync_0000000066,-0.11,-0.12,0.13,0.0,-0.0,0,5
2011_09_26_drive_0002_sync_0000000035,0.14,-0.12,0,0.0,-0.0,0,4
2011_09_26_drive_0002_sync_0000000050,-0.14,0.15,-0.14,0.0,0.0,-0.0,6
2011_09_26_drive_0002_sync_0000000041,0.14,-0.14,-0.11,0.0,0,0,4
2011_09_26_drive_0002_sync_0000000042,0.12,-0.12,0,0,-0.0,-0.0,4
2011_09_26_drive_0002_sync_0000000037,0.12,0.13,-0.14,-0.0,0.0,0.0,6
2011_09_26_drive_0002_sync_0000000022,0.13,0.12,0.13,-0.0,0,-0.0,5
2011_09_26_drive_0002_sync_0000000015,0.14,-0.11,0,0.0,0.0,0.0,5
2011_09_26_drive_0002_sync_0000000043,0.14,0.13,0.12,0.0,0.0,-0.0,6
2011_09_26_drive_0002_sync_0000000045,0.14,-0.13,-0.12,0.0,0.0,-0.0,6
2011_09_26_drive_0002_sync_0000000056,0,0.14,-0.12,0.0,-0.0,0,4
2011_09_26_drive_0002_sync_0000000006,0,-0.11,0.13,-0.0,-0.0,-0.0,5
2011_09_26_drive_0002_sync_0000000020,0.13,0,0,0.0,-0.0,0.0,4
2011_09_26_drive_0002_sync_0000000038,0.15,0.1,0,0.0,-0.0,0.0,5
2011_09_26_drive_0002_sync_0000000070,0.14,0.12,0,-0.0,0.0,0.0,5
2011_09_26_drive_0002_sync_0000000075,0.12,0,-0.14,-0.0,-0.0,0,4
2011_09_26_drive_0002_sync_0000000047,-0.11,0.12,0,0,0.0,-0.0,4
2011_09_26_drive_0002_sync_0000000065,-0.12,-0.15,-0.14,0,-0.0,0.0,5
2011_09_26_drive_0002_sync_0000000012,0.13,0.12,0,0.0,-0.0,0,4
2011_09_26_drive_0002_sync_0000000071,0.13,0,0,0.0,-0.0,0.0,4
2011_09_26_drive_0002_sync_0000000013,0,0.11,-0.15,0.0,0.0,-0.0,5
2011_09_26_drive_0002_sync_0000000019,0.14,-0.15,-0.1,-0.0,-0.0,-0.0,6
2011_09_26_drive_0002_sync_0000000039,0,0.14,0.14,-0.0,-0.0,0.0,5
2011_09_26_drive_0002_sync_0000000059,-0.13,-0.11,0.15,-0.0,0.0,0.0,6
2011_09_26_drive_0002_sync_0000000027,0,-0.13,0.15,-0.0,0,-0.0,4
2011_09_26_drive_0002_sync_0000000060,-0.12,-0.12,0.1,0.0,0.0,-0.0,6
2011_09_26_drive_0002_sync_0000000007,0.12,0,-0.13,0,0.0,0.0,4
2011_09_26_drive_0002_sync_0000000011,0.12,-0.12,0.14,-0.0,-0.0,0.0,6
2011_09_26_drive_0002_sync_0000000076,-0.15,-0.15,0.13,-0.0,-0.0,0.0,6
2011_09_26_drive_0002_sync_0000000062,0.13,0.12,-0.13,-0.0,-0.0,0,5
2011_09_26_drive_0002_sync_0000000032,-0.14,0,0.15,-0.0,-0.0,0,4
2011_09_26_drive_0002_sync_0000000026,0.15,-0.1,-0.11,0,0.0,-0.0,5
2011_09_26_drive_0002_sync_0000000023,-0.13,-0.15,0.14,-0.0,0.0,0.0,6
2011_09_26_drive_0002_sync_0000000005,-0.11,-0.14,-0.1,0,0,-0.0,4
2011_09_26_drive_0002_sync_0000000018,-0.14,0.14,0,0.0,0,-0.0,4
2011_09_26_drive_0002_sync_0000000073,-0.11,0,-0.13,0.0,0.0,0.0,5
2011_09_26_drive_0002_sync_0000000051,-0.15,0.14,0,0.0,0,-0.0,4
2011_09_26_drive_0002_sync_0000000068,0.1,0.14,-0.11,0.0,-0.0,-0.0,6
2011_09_26_drive_0002_sync_0000000025,-0.11,0.11,-0.12,0.0,0,0,4
2011_09_26_drive_0002_sync_0000000024,0,0.11,0.1,-0.0,0.0,0,4
2011_09_26_drive_0002_sync_0000000030,0,0.1,0.11,-0.0,0.0,0,4
2011_09_26_drive_0002_sync_0000000058,0.12,-0.14,-0.15,-0.0,0.0,0.0,6
2011_09_26_drive_0002_sync_0000000002,0.12,0.13,-0.14,0.0,0.0,-0.0,6
2011_09_26_drive_0002_sync_0000000072,-0.12,0,-0.12,0.0,0,0.0,4
2011_09_26_drive_0002_sync_0000000001,0.13,0.14,0.13,0.0,-0.0,0.0,6
2011_09_26_drive_0002_sync_0000000008,0.15,0,0.1,0.0,0.0,-0.0,5
2011_09_26_drive_0002_sync_0000000057,0,0.11,-0.14,-0.0,0.0,-0.0,5
2011_09_26_drive_0002_sync_0000000009,0,0.11,-0.11,-0.0,-0.0,0.0,5
2011_09_26_drive_0002_sync_0000000004,-0.13,0.14,0,-0.0,0.0,0,4
2011_09_26_drive_0002_sync_0000000014,0.14,-0.14,0.1,0,-0.0,-0.0,5
2011_09_26_drive_0002_sync_0000000021,0.13,-0.12,0.1,0,-0.0,0,4
2011_09_26_drive_0002_sync_0000000028,-0.1,-0.13,0.11,-0.0,0,0.0,5
2011_09_26_drive_0002_sync_0000000053,0.13,-0.11,-0.1,-0.0,0,0,4
