name,x,y,z,theta_rad1,theta_rad2,theta_rad3,n
2011_09_26_drive_0009_sync_0000000292,0,0,0.0,-1.43,0.89,-0.68,1
2011_09_26_drive_0009_sync_0000000326,0.0,0.0,0.0,-1.23,-1.54,1.66,3
2011_09_26_drive_0009_sync_0000000221,-0.0,0,0,0.56,1.63,0.79,1
2011_09_26_drive_0009_sync_0000000048,-0.0,-0.0,0.0,-0.9,-0.73,1.65,3
2011_09_26_drive_0009_sync_0000000195,0.0,0.0,0,0.84,0.72,-1.52,2
2011_09_26_drive_0009_sync_0000000143,-0.0,0,0,-1.57,-2.0,1.3,1
2011_09_26_drive_0009_sync_0000000069,-0.0,-0.0,-0.0,1.83,-1.09,1.19,3
2011_09_26_drive_0009_sync_0000000099,0.0,0.0,0.0,1.03,-0.77,-1.12,3
2011_09_26_drive_0009_sync_0000000432,0.0,0.0,0.0,1.3,0.83,1.78,3
2011_09_26_drive_0009_sync_0000000347,0.0,0,0,-1.78,0.82,1.02,1
2011_09_26_drive_0009_sync_0000000408,-0.0,0,0,-0.69,1.51,0.93,1
2011_09_26_drive_0009_sync_0000000424,0,-0.0,0,-1.55,1.76,-1.03,1
2011_09_26_drive_0009_sync_0000000371,0.0,0,0,0.7,-1.76,1.89,1
2011_09_26_drive_0009_sync_0000000399,0.0,-0.0,-0.0,1.15,-1.57,1.68,3
2011_09_26_drive_0009_sync_0000000220,0,0.0,0,0.63,-1.69,1.72,1
2011_09_26_drive_0009_sync_0000000418,0,0.0,0.0,1.59,1.03,-1.34,2
2011_09_26_drive_0009_sync_0000000387,-0.0,-0.0,-0.0,1.83,2.0,1.1,3
2011_09_26_drive_0009_sync_0000000273,0,0,0.0,1.95,1.78,-1.24,1
2011_09_26_drive_0009_sync_0000000218,0,0,0.0,1.25,1.36,-1.44,1
2011_09_26_drive_0009_sync_0000000010,-0.0,-0.0,0.0,1.01,-1.08,1.53,3
2011_09_26_drive_0009_sync_0000000159,-0.0,-0.0,0.0,0.89,0.8,0.98,3
2011_09_26_drive_0009_sync_0000000138,0,-0.0,0.0,1.47,-1.02,-0.78,2
2011_09_26_drive_0009_sync_0000000412,-0.0,0,0.0,1.23,-0.55,-0.6,2
2011_09_26_drive_0009_sync_0000000165,0.0,0.0,0,-0.56,1.52,-1.37,2
2011_09_26_drive_0009_sync_0000000226,-0.0,0.0,0.0,1.2,-1.81,-1.5,3
2011_09_26_drive_0009_sync_0000000330,-0.0,0,0,1.92,-0.72,1.49,1
2011_09_26_drive_0009_sync_0000000173,0,0,-0.0,-1.51,-1.73,-1.55,1
2011_09_26_drive_0009_sync_0000000153,0,0,0.0,-1.29,-1.89,-1.71,1
2011_09_26_drive_0009_sync_0000000231,0,-0.0,-0.0,0.58,-0.88,-0.76,2
2011_09_26_drive_0009_sync_0000000029,-0.0,-0.0,0.0,-0.77,1.38,-1.21,3
2011_09_26_drive_0009_sync_0000000135,0,0.0,-0.0,-1.6,1.56,0.85,2
2011_09_26_drive_0009_sync_0000000246,0,-0.0,0,1.37,-1.07,-1.86,1
2011_09_26_drive_0009_sync_0000000176,0.0,-0.0,-0.0,-0.65,0.78,-1.29,3
2011_09_26_drive_0009_sync_0000000269,-0.0,0.0,0,1.2,-0.59,1.29,2
2011_09_26_drive_0009_sync_0000000397,0,-0.0,0,-0.75,1.89,-0.85,1
2011_09_26_drive_0009_sync_0000000079,-0.0,-0.0,-0.0,1.68,0.97,1.13,3
2011_09_26_drive_0009_sync_0000000362,0,0,-0.0,1.91,-1.06,-1.62,1
2011_09_26_drive_0009_sync_0000000332,-0.0,0.0,-0.0,-1.37,1.76,1.68,3
2011_09_26_drive_0009_sync_0000000074,-0.0,-0.0,0.0,0.74,0.83,-1.82,3
2011_09_26_drive_0009_sync_0000000228,0,0,0.0,-1.64,-0.85,1.9,1
2011_09_26_drive_0009_sync_0000000385,0,0.0,0,-1.8,-1.8,1.15,1
2011_09_26_drive_0009_sync_0000000128,0.0,0.0,-0.0,-0.84,1.62,-0.95,3
2011_09_26_drive_0009_sync_0000000121,0.0,-0.0,-0.0,-1.72,1.0,1.39,3
2011_09_26_drive_0009_sync_0000000420,-0.0,0.0,0,1.86,-1.62,-1.77,2
2011_09_26_drive_0009_sync_0000000040,-0.0,-0.0,-0.0,0.64,0.54,-1.9,3
2011_09_26_drive_0009_sync_0000000382,0,0,0.0,0.62,0.75,1.42,1
2011_09_26_drive_0009_sync_0000000409,-0.0,-0.0,-0.0,-1.91,0.65,1.33,3
2011_09_26_drive_0009_sync_0000000191,0.0,0.0,0,-2.0,-1.04,0.57,2
2011_09_26_drive_0009_sync_0000000125,-0.0,0.0,-0.0,0.85,-1.99,-1.99,3
2011_09_26_drive_0009_sync_0000000090,0.0,-0.0,0.0,1.77,0.77,0.71,3
2011_09_26_drive_0009_sync_0000000288,-0.0,0.0,-0.0,-1.82,-1.75,1.65,3
2011_09_26_drive_0009_sync_0000000017,0.0,-0.0,0,-1.4,-0.55,1.17,2
2011_09_26_drive_0009_sync_0000000291,0,0,0.0,1.7,-1.39,0.81,1
2011_09_26_drive_0009_sync_0000000148,0,0,0.0,-1.87,0.7,-0.76,1
2011_09_26_drive_0009_sync_0000000236,0.0,-0.0,-0.0,0.97,1.81,-1.99,3
2011_09_26_drive_0009_sync_0000000144,-0.0,-0.0,-0.0,-1.68,-1.86,1.35,3
2011_09_26_drive_0009_sync_0000000384,-0.0,0,0,1.88,-1.37,-0.83,1
2011_09_26_drive_0009_sync_0000000290,-0.0,0,0,0.61,1.46,-1.28,1
2011_09_26_drive_0009_sync_0000000095,-0.0,0,0,1.91,1.76,0.68,1
2011_09_26_drive_0009_sync_0000000303,0,0.0,-0.0,-1.81,0.69,1.85,2
2011_09_26_drive_0009_sync_0000000431,0,-0.0,0,1.0,1.21,-1.32,1
2011_09_26_drive_0009_sync_0000000261,-0.0,0,0,-0.84,-1.34,1.14,1
2011_09_26_drive_0009_sync_0000000272,-0.0,0,0.0,-1.69,0.75,1.79,2
2011_09_26_drive_0009_sync_0000000126,0.0,-0.0,0,-1.96,1.03,-1.35,2
2011_09_26_drive_0009_sync_0000000285,-0.0,0.0,0.0,1.71,-0.63,1.25,3
2011_09_26_drive_0009_sync_0000000145,0,0.0,0,-1.09,1.2,1.68,1
2011_09_26_drive_0009_sync_0000000155,0.0,0,-0.0,-1.83,0.52,-1.28,2
2011_09_26_drive_0009_sync_0000000113,0.0,-0.0,-0.0,-1.14,1.97,-2.0,3
2011_09_26_drive_0009_sync_0000000092,-0.0,0.0,-0.0,-0.57,1.43,-1.37,3
2011_09_26_drive_0009_sync_0000000313,-0.0,-0.0,-0.0,-0.5,-1.07,0.77,3
2011_09_26_drive_0009_sync_0000000346,0,0.0,0.0,-0.99,1.48,-0.78,2
2011_09_26_drive_0009_sync_0000000404,0,-0.0,0.0,-1.47,1.47,-1.26,2
2011_09_26_drive_0009_sync_0000000219,0,0.0,0,-0.95,-1.01,0.56,1
2011_09_26_drive_0009_sync_0000000376,0,-0.0,-0.0,-1.64,-0.71,-1.69,2
2011_09_26_drive_0009_sync_0000000410,0.0,0.0,0,-0.87,1.95,-1.24,2
2011_09_26_drive_0009_sync_0000000400,-0.0,0.0,-0.0,-1.66,-1.45,-1.13,3
2011_09_26_drive_0009_sync_0000000235,-0.0,0.0,0.0,-1.99,-1.75,-1.6,3
2011_09_26_drive_0009_sync_0000000103,0,-0.0,-0.0,0.89,-0.99,-1.94,2
2011_09_26_drive_0009_sync_0000000204,-0.0,0.0,0.0,1.95,-0.64,-1.9,3
2011_09_26_drive_0009_sync_0000000052,0,-0.0,0,-1.16,-1.69,1.04,1
2011_09_26_drive_0009_sync_0000000197,0.0,0.0,0.0,0.5,0.8,-0.99,3
2011_09_26_drive_0009_sync_0000000374,-0.0,-0.0,0.0,1.45,-0.94,1.1,3
2011_09_26_drive_0009_sync_0000000157,-0.0,-0.0,0,1.95,1.31,-1.18,2
2011_09_26_drive_0009_sync_0000000137,0.0,-0.0,-0.0,0.94,1.18,-1.7,3
2011_09_26_drive_0009_sync_0000000352,0,0,-0.0,-1.76,1.3,1.24,1
2011_09_26_drive_0009_sync_0000000117,0,0,0.0,0.87,-0.77,-1.05,1
2011_09_26_drive_0009_sync_0000000142,0.0,0,-0.0,-1.92,0.72,0.87,2
2011_09_26_drive_0009_sync_0000000044,0,0.0,0.0,1.46,0.87,1.77,2
2011_09_26_drive_0009_sync_0000000083,0,-0.0,0.0,1.57,1.28,-1.55,2
2011_09_26_drive_0009_sync_0000000167,0.0,0,0,0.76,1.36,1.8,1
2011_09_26_drive_0009_sync_0000000301,0,-0.0,0.0,0.7,0.82,1.51,2
2011_09_26_drive_0009_sync_0000000183,-0.0,0,0.0,1.69,0.54,0.61,2
2011_09_26_drive_0009_sync_0000000034,-0.0,0,0.0,-0.97,-0.64,1.28,2
2011_09_26_drive_0009_sync_0000000123,0.0,-0.0,0.0,-1.14,-0.77,-0.99,3
2011_09_26_drive_0009_sync_0000000446,-0.0,0,-0.0,-1.15,-1.28,1.98,2
2011_09_26_drive_0009_sync_0000000129,0.0,0.0,-0.0,1.29,1.62,0.87,3
2011_09_26_drive_0009_sync_0000000281,0.0,0,0.0,0.64,-1.36,-1.64,2
2011_09_26_drive_0009_sync_0000000049,-0.0,0,-0.0,1.35,-0.65,-1.08,2
2011_09_26_drive_0009_sync_0000000199,0.0,0.0,-0.0,-1.07,0.7,1.48,3
2011_09_26_drive_0009_sync_0000000440,0,0.0,0,-0.75,1.87,1.45,1
2011_09_26_drive_0009_sync_0000000077,0,0,-0.0,-1.94,0.62,1.82,1
2011_09_26_drive_0009_sync_0000000233,-0.0,0,0,-1.71,1.38,-0.9,1
2011_09_26_drive_0009_sync_0000000314,0.0,0.0,-0.0,-1.29,-1.7,0.62,3
2011_09_26_drive_0009_sync_0000000054,0.0,-0.0,-0.0,-0.91,1.8,1.58,3
2011_09_26_drive_0009_sync_0000000278,-0.0,-0.0,0.0,1.94,-1.74,1.1,3
2011_09_26_drive_0009_sync_0000000152,-0.0,-0.0,0,-1.51,1.3,0.54,2
2011_09_26_drive_0009_sync_0000000296,0,0,-0.0,1.74,-1.77,1.76,1
2011_09_26_drive_0009_sync_0000000370,-0.0,-0.0,-0.0,-1.39,-1.37,0.95,3
2011_09_26_drive_0009_sync_0000000214,0,0.0,0.0,-1.46,0.63,0.93,2
2011_09_26_drive_0009_sync_0000000445,0,0.0,0,-1.47,0.99,-1.59,1
2011_09_26_drive_0009_sync_0000000230,-0.0,0,0.0,-1.3,-1.19,0.98,2
2011_09_26_drive_0009_sync_0000000130,-0.0,0.0,0.0,1.21,-0.96,1.99,3
2011_09_26_drive_0009_sync_0000000016,0,0,-0.0,-1.78,-1.89,-1.19,1
2011_09_26_drive_0009_sync_0000000375,-0.0,0.0,0.0,-1.22,0.56,1.32,3
2011_09_26_drive_0009_sync_0000000105,0.0,-0.0,0.0,-1.69,1.65,-0.57,3
2011_09_26_drive_0009_sync_0000000158,0.0,0.0,0.0,1.2,-1.25,1.84,3
2011_09_26_drive_0009_sync_0000000243,0,-0.0,0,-1.25,1.1,1.27,1
2011_09_26_drive_0009_sync_0000000406,0,0.0,0,0.97,-1.04,1.23,1
2011_09_26_drive_0009_sync_0000000353,-0.0,0.0,0.0,-0.86,1.61,-0.62,3
2011_09_26_drive_0009_sync_0000000317,-0.0,-0.0,0.0,1.96,1.56,1.43,3
2011_09_26_drive_0009_sync_0000000283,0.0,0.0,-0.0,-0.77,1.09,-1.15,3
2011_09_26_drive_0009_sync_0000000333,-0.0,-0.0,-0.0,0.98,-1.23,-0.79,3
2011_09_26_drive_0009_sync_0000000055,0,0,-0.0,-0.92,-1.67,1.33,1
2011_09_26_drive_0009_sync_0000000134,0,0.0,0.0,-0.7,0.65,-0.71,2
2011_09_26_drive_0009_sync_0000000036,0,-0.0,-0.0,1.38,0.87,0.65,2
2011_09_26_drive_0009_sync_0000000355,-0.0,0.0,-0.0,1.14,-1.38,0.98,3
2011_09_26_drive_0009_sync_0000000427,-0.0,0,-0.0,0.75,1.31,0.52,2
2011_09_26_drive_0009_sync_0000000369,0.0,0,0,-1.11,-0.5,-1.76,1
2011_09_26_drive_0009_sync_0000000189,-0.0,-0.0,0.0,-0.89,1.07,-1.27,3
2011_09_26_drive_0009_sync_0000000390,0,0.0,0,-0.89,0.59,1.79,1
2011_09_26_drive_0009_sync_0000000357,0.0,0.0,0,1.04,1.23,0.87,2
2011_09_26_drive_0009_sync_0000000066,-0.0,-0.0,-0.0,1.28,1.63,1.67,3
2011_09_26_drive_0009_sync_0000000443,-0.0,0,0,-1.93,1.46,-1.62,1
2011_09_26_drive_0009_sync_0000000094,0,0.0,0,1.57,1.6,1.84,1
2011_09_26_drive_0009_sync_0000000388,0.0,-0.0,-0.0,-0.92,1.25,-0.63,3
2011_09_26_drive_0009_sync_0000000193,0,0,-0.0,1.45,-1.19,-1.96,1
2011_09_26_drive_0009_sync_0000000295,0.0,0.0,-0.0,-1.75,0.56,-1.16,3
2011_09_26_drive_0009_sync_0000000234,0,-0.0,0.0,1.19,-1.86,1.63,2
2011_09_26_drive_0009_sync_0000000035,0,-0.0,0.0,1.33,-1.33,-0.93,2
2011_09_26_drive_0009_sync_0000000050,-0.0,-0.0,0,-1.35,-0.86,1.42,2
2011_09_26_drive_0009_sync_0000000163,0,-0.0,0.0,-0.87,-1.18,1.13,2
2011_09_26_drive_0009_sync_0000000329,-0.0,-0.0,-0.0,-1.49,-1.74,-1.16,3
2011_09_26_drive_0009_sync_0000000100,0.0,0.0,-0.0,-1.07,-1.4,1.2,3
2011_09_26_drive_0009_sync_0000000149,0.0,0.0,-0.0,0.7,1.45,0.51,3
2011_09_26_drive_0009_sync_0000000258,0.0,0.0,-0.0,1.22,-0.61,1.21,3
2011_09_26_drive_0009_sync_0000000229,0,0,-0.0,0.98,-0.7,1.91,1
2011_09_26_drive_0009_sync_0000000256,-0.0,-0.0,0.0,0.93,1.1,1.79,3
2011_09_26_drive_0009_sync_0000000356,0,0.0,0.0,-1.91,1.22,-1.48,2
2011_09_26_drive_0009_sync_0000000136,0.0,0.0,0,-0.9,1.94,1.62,2
2011_09_26_drive_0009_sync_0000000391,0.0,0,0,1.03,-1.32,-1.78,1
2011_09_26_drive_0009_sync_0000000438,0.0,0,0,-1.57,-1.94,-0.62,1
2011_09_26_drive_0009_sync_0000000041,0.0,-0.0,0,-1.79,1.08,1.73,2
2011_09_26_drive_0009_sync_0000000248,0,0,0.0,-0.95,-1.64,1.39,1
2011_09_26_drive_0009_sync_0000000141,0.0,-0.0,-0.0,-0.8,-1.33,1.05,3
2011_09_26_drive_0009_sync_0000000312,0.0,0,0,-1.64,-0.61,1.22,1
2011_09_26_drive_0009_sync_0000000084,-0.0,0.0,0.0,-1.57,0.91,-1.21,3
2011_09_26_drive_0009_sync_0000000254,-0.0,0,0,0.56,1.35,-1.09,1
2011_09_26_drive_0009_sync_0000000190,0.0,-0.0,0,1.36,-1.44,-0.97,2
2011_09_26_drive_0009_sync_0000000161,0.0,0.0,0,-0.74,0.68,-0.91,2
2011_09_26_drive_0009_sync_0000000383,-0.0,0,0,1.21,0.51,0.95,1
2011_09_26_drive_0009_sync_0000000344,0,-0.0,0.0,-1.96,-0.88,-0.9,2
2011_09_26_drive_0009_sync_0000000239,0.0,0,0,0.85,-1.99,-1.85,1
2011_09_26_drive_0009_sync_0000000336,0.0,0,-0.0,-1.07,1.32,-1.96,2
2011_09_26_drive_0009_sync_0000000398,-0.0,-0.0,-0.0,1.47,1.64,-1.53,3
2011_09_26_drive_0009_sync_0000000196,-0.0,-0.0,0,0.89,-1.9,0.85,2
2011_09_26_drive_0009_sync_0000000222,0.0,0.0,0,-1.68,1.08,1.14,2
2011_09_26_drive_0009_sync_0000000307,0,0,-0.0,-0.99,-2.0,0.76,1
2011_09_26_drive_0009_sync_0000000245,-0.0,0.0,0,-1.39,1.13,-0.66,2
2011_09_26_drive_0009_sync_0000000042,0,0.0,-0.0,0.84,-1.71,0.7,2
2011_09_26_drive_0009_sync_0000000037,0,0.0,-0.0,0.87,1.78,-1.67,2
2011_09_26_drive_0009_sync_0000000386,0.0,0.0,-0.0,1.23,0.72,-0.84,3
2011_09_26_drive_0009_sync_0000000022,0,0,0.0,-0.78,-1.16,1.56,1
2011_09_26_drive_0009_sync_0000000351,0.0,-0.0,-0.0,0.67,-0.73,1.87,3
2011_09_26_drive_0009_sync_0000000108,0,0,0.0,1.75,1.5,-1.54,1
2011_09_26_drive_0009_sync_0000000365,0.0,0,0,1.71,-1.21,-1.16,1
2011_09_26_drive_0009_sync_0000000315,0.0,0,-0.0,-1.8,0.53,1.19,2
2011_09_26_drive_0009_sync_0000000247,-0.0,0,0,1.73,1.44,-1.76,1
2011_09_26_drive_0009_sync_0000000298,0,-0.0,-0.0,0.99,1.25,1.18,2
2011_09_26_drive_0009_sync_0000000170,0.0,-0.0,0.0,1.85,0.69,-1.22,3
2011_09_26_drive_0009_sync_0000000015,0,0.0,0.0,0.76,0.75,-0.98,2
2011_09_26_drive_0009_sync_0000000224,-0.0,0,0.0,1.29,-1.16,1.56,2
2011_09_26_drive_0009_sync_0000000265,-0.0,0.0,0,-1.01,-0.94,1.32,2
2011_09_26_drive_0009_sync_0000000216,-0.0,0.0,0,-1.8,-1.03,1.07,2
2011_09_26_drive_0009_sync_0000000110,0,0,0.0,-0.72,-1.79,-1.48,1
2011_09_26_drive_0009_sync_0000000087,0,-0.0,-0.0,-1.93,0.76,-0.67,2
2011_09_26_drive_0009_sync_0000000043,0.0,-0.0,-0.0,-0.69,1.69,1.75,3
2011_09_26_drive_0009_sync_0000000367,0.0,0.0,-0.0,-0.87,-0.94,-0.77,3
2011_09_26_drive_0009_sync_0000000237,-0.0,0.0,0,0.66,-1.48,1.36,2
2011_09_26_drive_0009_sync_0000000316,0.0,0.0,-0.0,1.07,-1.22,-1.92,3
2011_09_26_drive_0009_sync_0000000257,0.0,0,0,-1.53,0.87,0.68,1
2011_09_26_drive_0009_sync_0000000045,0.0,-0.0,0,0.75,0.57,1.29,2
2011_09_26_drive_0009_sync_0000000287,0,-0.0,0,-1.73,-1.6,1.22,1
2011_09_26_drive_0009_sync_0000000186,-0.0,0.0,0.0,-0.6,1.34,1.88,3
2011_09_26_drive_0009_sync_0000000056,0.0,-0.0,0,1.64,1.52,-1.18,2
2011_09_26_drive_0009_sync_0000000006,0.0,-0.0,0.0,1.51,-1.83,-1.96,3
2011_09_26_drive_0009_sync_0000000198,0.0,0.0,-0.0,0.79,-1.96,0.91,3
2011_09_26_drive_0009_sync_0000000339,0,-0.0,-0.0,-1.97,-0.92,0.98,2
2011_09_26_drive_0009_sync_0000000213,0,0.0,0,1.35,-1.16,-1.33,1
2011_09_26_drive_0009_sync_0000000263,0,0,0.0,1.62,-1.48,1.76,1
2011_09_26_drive_0009_sync_0000000341,0,0,-0.0,-0.93,-1.38,0.53,1
2011_09_26_drive_0009_sync_0000000253,0.0,-0.0,-0.0,1.21,0.85,0.86,3
2011_09_26_drive_0009_sync_0000000020,0,-0.0,0.0,1.76,0.56,1.38,2
2011_09_26_drive_0009_sync_0000000389,-0.0,-0.0,0,-0.71,1.27,1.05,2
2011_09_26_drive_0009_sync_0000000207,0.0,0.0,0.0,-1.57,-0.96,1.69,3
2011_09_26_drive_0009_sync_0000000133,-0.0,0.0,-0.0,-0.93,-1.88,-1.52,3
2011_09_26_drive_0009_sync_0000000132,-0.0,-0.0,-0.0,1.69,-1.75,1.46,3
2011_09_26_drive_0009_sync_0000000122,0,0.0,-0.0,-1.99,1.52,-0.61,2
2011_09_26_drive_0009_sync_0000000038,0,0,0.0,0.88,1.44,0.67,1
2011_09_26_drive_0009_sync_0000000070,0.0,0,0,-1.13,1.39,-1.8,1
2011_09_26_drive_0009_sync_0000000262,-0.0,0,0,1.36,-1.03,-1.23,1
2011_09_26_drive_0009_sync_0000000075,0,-0.0,0,-1.87,1.48,1.61,1
2011_09_26_drive_0009_sync_0000000188,-0.0,0.0,0,1.0,1.56,0.7,2
2011_09_26_drive_0009_sync_0000000416,0,0.0,0.0,-1.87,-1.12,-1.37,2
2011_09_26_drive_0009_sync_0000000164,-0.0,0,0.0,-1.14,1.1,0.61,2
2011_09_26_drive_0009_sync_0000000264,0,0.0,0.0,0.66,-1.38,0.58,2
2011_09_26_drive_0009_sync_0000000299,0,0,-0.0,-0.64,1.03,-1.24,1
2011_09_26_drive_0009_sync_0000000047,0.0,0,0.0,0.72,1.48,-1.65,2
2011_09_26_drive_0009_sync_0000000318,0.0,-0.0,-0.0,1.15,1.68,1.62,3
2011_09_26_drive_0009_sync_0000000065,-0.0,-0.0,-0.0,0.58,-1.15,-0.83,3
2011_09_26_drive_0009_sync_0000000242,-0.0,0.0,-0.0,1.04,0.91,1.35,3
2011_09_26_drive_0009_sync_0000000168,0.0,-0.0,0.0,1.62,1.12,1.27,3
2011_09_26_drive_0009_sync_0000000232,0.0,-0.0,0.0,-1.62,-1.72,1.03,3
2011_09_26_drive_0009_sync_0000000012,0.0,0.0,-0.0,1.13,-1.37,-1.61,3
2011_09_26_drive_0009_sync_0000000280,0.0,0.0,0,-2.0,-1.84,1.31,2
2011_09_26_drive_0009_sync_0000000305,0.0,0.0,0.0,1.03,0.68,-0.91,3
2011_09_26_drive_0009_sync_0000000071,0.0,0.0,-0.0,-0.71,1.94,-1.29,3
2011_09_26_drive_0009_sync_0000000013,0.0,0,0,-1.24,-1.11,-1.83,1
2011_09_26_drive_0009_sync_0000000194,0.0,0.0,0,0.88,-0.65,1.43,2
2011_09_26_drive_0009_sync_0000000252,0,0,-0.0,1.42,-1.63,1.62,1
2011_09_26_drive_0009_sync_0000000162,0,-0.0,0,1.15,-0.8,1.65,1
2011_09_26_drive_0009_sync_0000000174,-0.0,-0.0,-0.0,0.76,-0.99,0.53,3
2011_09_26_drive_0009_sync_0000000379,0,0.0,0,0.6,0.7,0.77,1
