name,x,y,z,theta_rad1,theta_rad2,theta_rad3,n
2011_09_26_drive_0001_sync_0000000048,0.0,-0.0,-0.0,1.62,0,0,1
2011_09_26_drive_0001_sync_0000000069,0.0,-0.0,0.0,1.85,0,1.67,2
2011_09_26_drive_0001_sync_0000000099,0.0,-0.0,0.0,-1.06,0,-1.2,2
2011_09_26_drive_0001_sync_0000000010,0.0,-0.0,0.0,0,1.73,0,1
2011_09_26_drive_0001_sync_0000000029,-0.0,-0.0,0.0,0,1.58,0,1
2011_09_26_drive_0001_sync_0000000079,-0.0,-0.0,-0.0,-1.83,0,0,1
2011_09_26_drive_0001_sync_0000000074,-0.0,-0.0,0.0,-1.14,-1.96,1.5,3
2011_09_26_drive_0001_sync_0000000040,0.0,0.0,-0.0,1.72,-1.17,0,2
2011_09_26_drive_0001_sync_0000000090,0.0,0.0,-0.0,-1.73,-1.85,1.24,3
2011_09_26_drive_0001_sync_0000000017,0.0,0.0,-0.0,0,-1.88,0,1
2011_09_26_drive_0001_sync_0000000095,-0.0,0.0,0.0,-1.4,1.08,0,2
2011_09_26_drive_0001_sync_0000000092,0.0,0.0,-0.0,1.82,-1.29,-1.48,3
2011_09_26_drive_0001_sync_0000000103,-0.0,0.0,-0.0,1.62,-1.41,1.12,3
2011_09_26_drive_0001_sync_0000000052,0.0,-0.0,-0.0,0,1.9,0,1
2011_09_26_drive_0001_sync_0000000044,0.0,0.0,-0.0,0,0,-1.81,1
2011_09_26_drive_0001_sync_0000000083,0.0,0.0,0.0,-1.29,0,0,1
2011_09_26_drive_0001_sync_0000000034,0.0,0.0,0.0,1.99,-1.12,0,2
2011_09_26_drive_0001_sync_0000000049,0.0,-0.0,0.0,0,-1.81,0,1
2011_09_26_drive_0001_sync_0000000077,0.0,-0.0,-0.0,1.51,1.73,1.3,3
2011_09_26_drive_0001_sync_0000000054,0.0,-0.0,-0.0,-1.17,1.85,-1.55,3
2011_09_26_drive_0001_sync_0000000016,-0.0,-0.0,0.0,0,1.27,0,1
2011_09_26_drive_0001_sync_0000000105,-0.0,-0.0,-0.0,0,-1.82,0,1
2011_09_26_drive_0001_sync_0000000055,-0.0,-0.0,0.0,-1.05,-1.28,1.61,3
2011_09_26_drive_0001_sync_0000000036,0.0,-0.0,0.0,-1.88,0,-1.86,2
2011_09_26_drive_0001_sync_0000000066,0.0,-0.0,-0.0,0,1.88,0,1
2011_09_26_drive_0001_sync_0000000094,-0.0,-0.0,-0.0,-1.2,1.6,-1.31,3
2011_09_26_drive_0001_sync_0000000035,-0.0,-0.0,0.0,0,0,1.02,1
2011_09_26_drive_0001_sync_0000000050,0.0,0.0,-0.0,-1.26,0,0,1
2011_09_26_drive_0001_sync_0000000100,0.0,-0.0,0.0,1.18,0,1.86,2
2011_09_26_drive_0001_sync_0000000041,-0.0,0.0,0.0,-1.11,0,0,1
2011_09_26_drive_0001_sync_0000000084,-0.0,-0.0,0.0,-1.59,1.31,-1.44,3
2011_09_26_drive_0001_sync_0000000042,-0.0,0.0,-0.0,-1.71,0,0,1
2011_09_26_drive_0001_sync_0000000037,0.0,0.0,0.0,0,-1.66,-1.27,2
2011_09_26_drive_0001_sync_0000000022,0.0,0.0,-0.0,1.34,1.78,-1.2,3
2011_09_26_drive_0001_sync_0000000015,0.0,0.0,-0.0,0,1.88,1.35,2
2011_09_26_drive_0001_sync_0000000087,-0.0,-0.0,-0.0,-1.39,0,-1.97,2
2011_09_26_drive_0001_sync_0000000043,-0.0,0.0,0.0,0,-1.19,-1.75,2
2011_09_26_drive_0001_sync_0000000045,0.0,0.0,-0.0,1.55,1.78,0,2
2011_09_26_drive_0001_sync_0000000056,0.0,-0.0,-0.0,-1.82,0,0,1
2011_09_26_drive_0001_sync_0000000006,0.0,0.0,0.0,-1.61,-1.29,0,2
2011_09_26_drive_0001_sync_0000000020,0.0,0.0,0.0,-1.34,0,1.49,2
2011_09_26_drive_0001_sync_0000000038,0.0,0.0,-0.0,1.54,-1.09,0,2
2011_09_26_drive_0001_sync_0000000070,-0.0,-0.0,0.0,0,1.22,0,1
2011_09_26_drive_0001_sync_0000000075,-0.0,0.0,-0.0,-1.45,0,1.97,2
2011_09_26_drive_0001_sync_0000000047,0.0,0.0,-0.0,0,0,-1.82,1
2011_09_26_drive_0001_sync_0000000065,0.0,0.0,0.0,1.19,0,0,1
2011_09_26_drive_0001_sync_0000000012,-0.0,0.0,0.0,1.93,-1.87,-1.7,3
2011_09_26_drive_0001_sync_0000000071,0.0,-0.0,-0.0,0,-1.2,-1.1,2
2011_09_26_drive_0001_sync_0000000013,-0.0,0.0,-0.0,0,-1.09,1.15,2
2011_09_26_drive_0001_sync_0000000019,0.0,0.0,-0.0,1.2,0,0,1
2011_09_26_drive_0001_sync_0000000039,0.0,-0.0,-0.0,1.45,-1.68,-1.3,3
2011_09_26_drive_0001_sync_0000000059,-0.0,-0.0,-0.0,-1.91,-1.96,-1.63,3
2011_09_26_drive_0001_sync_0000000027,0.0,-0.0,0.0,-1.37,1.62,-1.03,3
2011_09_26_drive_0001_sync_0000000104,0.0,0.0,-0.0,1.52,1.51,0,2
2011_09_26_drive_0001_sync_0000000082,-0.0,0.0,0.0,0,-1.24,1.62,2
2011_09_26_drive_0001_sync_0000000060,-0.0,-0.0,-0.0,0,1.03,-1.69,2
2011_09_26_drive_0001_sync_0000000086,0.0,0.0,0.0,1.73,1.87,0,2
2011_09_26_drive_0001_sync_0000000007,-0.0,0.0,-0.0,0,0,-1.02,1
2011_09_26_drive_0001_sync_0000000102,0.0,0.0,0.0,0,0,-1.69,1
2011_09_26_drive_0001_sync_0000000011,-0.0,-0.0,0.0,1.88,-1.78,1.83,3
2011_09_26_drive_0001_sync_0000000088,0.0,-0.0,-0.0,-1.26,-1.07,1.89,3
2011_09_26_drive_0001_sync_0000000076,0.0,-0.0,-0.0,-1.15,0,0,1
2011_09_26_drive_0001_sync_0000000093,0.0,-0.0,-0.0,-1.33,-1.21,0,2
2011_09_26_drive_0001_sync_0000000062,-0.0,-0.0,-0.0,-1.35,0,-1.71,2
2011_09_26_drive_0001_sync_0000000106,0.0,-0.0,-0.0,1.2,-1.6,-1.08,3
2011_09_26_drive_0001_sync_0000000080,-0.0,0.0,-0.0,1.29,1.32,-1.78,3
2011_09_26_drive_0001_sync_0000000032,-0.0,0.0,-0.0,1.56,0,0,1
2011_09_26_drive_0001_sync_0000000026,0.0,-0.0,-0.0,0,1.63,0,1
2011_09_26_drive_0001_sync_0000000023,0.0,0.0,0.0,0,-1.75,-1.46,2
2011_09_26_drive_0001_sync_0000000091,0.0,-0.0,-0.0,0,-1.86,-1.41,2
2011_09_26_drive_0001_sync_0000000005,0.0,-0.0,-0.0,0,1.65,2.0,2
2011_09_26_drive_0001_sync_0000000018,0.0,0.0,0.0,1.5,0,1.35,2
2011_09_26_drive_0001_sync_0000000101,0.0,0.0,0.0,0,1.05,1.16,2
2011_09_26_drive_0001_sync_0000000081,0.0,0.0,0.0,1.43,-1.69,0,2
2011_09_26_drive_0001_sync_0000000073,0.0,-0.0,0.0,-1.3,1.11,-1.1,3
2011_09_26_drive_0001_sync_0000000098,0.0,-0.0,0.0,-1.34,0,0,1
2011_09_26_drive_0001_sync_0000000085,-0.0,-0.0,-0.0,-1.45,1.44,1.17,3
2011_09_26_drive_0001_sync_0000000051,-0.0,0.0,0.0,1.76,0,0,1
2011_09_26_drive_0001_sync_0000000068,0.0,-0.0,0.0,-1.08,1.59,0,2
2011_09_26_drive_0001_sync_0000000025,-0.0,0.0,0.0,-1.42,0,0,1
2011_09_26_drive_0001_sync_0000000024,0.0,0.0,-0.0,0,0,1.7,1
2011_09_26_drive_0001_sync_0000000030,0.0,0.0,0.0,0,-1.09,1.15,2
2011_09_26_drive_0001_sync_0000000058,-0.0,0.0,-0.0,-1.74,0,0,1
2011_09_26_drive_0001_sync_0000000002,-0.0,-0.0,0.0,0,0,-1.92,1
2011_09_26_drive_0001_sync_0000000072,0.0,0.0,-0.0,-1.38,-1.08,0,2
2011_09_26_drive_0001_sync_0000000001,-0.0,0.0,0.0,-1.62,-1.23,-1.05,3
2011_09_26_drive_0001_sync_0000000008,-0.0,0.0,-0.0,1.15,0,0,1
2011_09_26_drive_0001_sync_0000000057,0.0,0.0,-0.0,0,-1.79,1.55,2
2011_09_26_drive_0001_sync_0000000009,-0.0,-0.0,-0.0,1.8,0,0,1
2011_09_26_drive_0001_sync_0000000078,0.0,-0.0,-0.0,0,1.77,1.78,2
2011_09_26_drive_0001_sync_0000000004,0.0,-0.0,-0.0,-1.96,0,-1.38,2
2011_09_26_drive_0001_sync_0000000014,0.0,0.0,0.0,-1.68,0,-1.49,2
2011_09_26_drive_0001_sync_0000000021,0.0,-0.0,-0.0,0,1.5,-1.42,2
2011_09_26_drive_0001_sync_0000000107,-0.0,0.0,-0.0,-1.83,0,-1.47,2
2011_09_26_drive_0001_sync_0000000028,-0.0,0.0,0.0,-1.18,0,0,1
2011_09_26_drive_0001_sync_0000000053,-0.0,0.0,-0.0,0,0,-1.32,1
