name,x,y,z,theta_rad1,theta_rad2,theta_rad3,n
2011_09_26_drive_0001_sync_0000000048,-0.1,0.09,0.07,0.0,-0.0,0.0,3
2011_09_26_drive_0001_sync_0000000069,0.09,-0.08,0.08,-0.0,0.0,-0.0,3
2011_09_26_drive_0001_sync_0000000099,-0.05,-0.09,-0.09,0.0,-0.0,0.0,3
2011_09_26_drive_0001_sync_0000000010,0.06,-0.07,0.09,0.0,-0.0,0.0,3
2011_09_26_drive_0001_sync_0000000029,-0.05,0,0.09,-0.0,-0.0,-0.0,2
2011_09_26_drive_0001_sync_0000000079,-0.07,0,-0.08,0.0,-0.0,0.0,2
2011_09_26_drive_0001_sync_0000000074,0.05,0,0.08,0.0,-0.0,-0.0,2
2011_09_26_drive_0001_sync_0000000040,0,-0.07,0,0.0,0.0,0.0,1
2011_09_26_drive_0001_sync_0000000090,-0.09,0.06,0,-0.0,0.0,-0.0,2
2011_09_26_drive_0001_sync_0000000017,0.09,0.06,0.06,0.0,-0.0,-0.0,3
2011_09_26_drive_0001_sync_0000000095,0,0.06,0,0.0,0.0,0.0,1
2011_09_26_drive_0001_sync_0000000092,-0.05,0,0,0.0,0.0,0.0,1
2011_09_26_drive_0001_sync_0000000103,0,-0.09,0,0.0,0.0,-0.0,1
2011_09_26_drive_0001_sync_0000000052,-0.08,0.09,-0.07,-0.0,0.0,0.0,3
2011_09_26_drive_0001_sync_0000000044,0.07,0.06,-0.1,-0.0,-0.0,-0.0,3
2011_09_26_drive_0001_sync_0000000083,-0.09,0.08,0,-0.0,0.0,-0.0,2
2011_09_26_drive_0001_sync_0000000034,-0.05,0,0,0.0,-0.0,-0.0,1
2011_09_26_drive_0001_sync_0000000049,-0.07,0,0,-0.0,0.0,0.0,1
2011_09_26_drive_0001_sync_0000000077,0,0.09,0,-0.0,-0.0,0.0,1
2011_09_26_drive_0001_sync_0000000054,-0.07,-0.07,0,0.0,-0.0,0.0,2
2011_09_26_drive_0001_sync_0000000016,-0.06,0,0,-0.0,-0.0,-0.0,1
2011_09_26_drive_0001_sync_0000000105,-0.06,0.07,0.1,-0.0,0.0,-0.0,3
2011_09_26_drive_0001_sync_0000000055,0.09,0,-0.08,0.0,0.0,-0.0,2
2011_09_26_drive_0001_sync_0000000036,-0.07,0,0.08,0.0,-0.0,-0.0,2
2011_09_26_drive_0001_sync_0000000066,-0.1,-0.09,0.1,0.0,-0.0,-0.0,3
2011_09_26_drive_0001_sync_0000000094,-0.1,-0.07,-0.08,-0.0,0.0,-0.0,3
