name,x,y,z,theta_rad1,theta_rad2,theta_rad3
2011_09_26_drive_0009_sync_0000000292,0,-0.31,0,-1.34,0,-1.03
2011_09_26_drive_0009_sync_0000000326,-0.35,0,0.23,0,-3.13,3.24
2011_09_26_drive_0009_sync_0000000221,0,0,0,0,0.75,0
2011_09_26_drive_0009_sync_0000000048,0.42,0,0,0,1.18,0
2011_09_26_drive_0009_sync_0000000195,0.15,0,0.26,0,0,-3.86
2011_09_26_drive_0009_sync_0000000143,0,0,0.33,-0.97,-4.12,0
2011_09_26_drive_0009_sync_0000000069,0.19,0.49,0.16,1.36,0,2.26
2011_09_26_drive_0009_sync_0000000099,0,0,0.43,3.85,0,-4.94
2011_09_26_drive_0009_sync_0000000432,-0.29,-0.15,0,1.78,-1.76,-3.63
2011_09_26_drive_0009_sync_0000000347,0.4,0.4,0,0,0,-4.33
2011_09_26_drive_0009_sync_0000000408,0,-0.49,0,0.53,1.95,2.22
2011_09_26_drive_0009_sync_0000000424,0.25,0,0.47,-1.96,0,4.29
2011_09_26_drive_0009_sync_0000000371,-0.16,0,-0.24,-4.66,0,-1.0
2011_09_26_drive_0009_sync_0000000399,0.32,0,0.21,0.93,3.79,4.11
2011_09_26_drive_0009_sync_0000000220,0,-0.31,0,0,-4.03,-2.75
2011_09_26_drive_0009_sync_0000000418,-0.45,-0.39,0,4.46,1.84,-1.14
2011_09_26_drive_0009_sync_0000000387,-0.45,-0.42,0,0.5,0,2.78
2011_09_26_drive_0009_sync_0000000273,0,-0.14,-0.27,-0.89,0,0
2011_09_26_drive_0009_sync_0000000218,0,0.26,-0.47,0,0,2.82
2011_09_26_drive_0009_sync_0000000010,-0.43,0.23,0.23,-0.53,0,2.93
2011_09_26_drive_0009_sync_0000000159,-0.46,0,0,-4.69,0,-2.75
2011_09_26_drive_0009_sync_0000000138,0,0,0,0,-2.28,3.75
2011_09_26_drive_0009_sync_0000000412,0,-0.46,-0.28,0,0,-4.12
2011_09_26_drive_0009_sync_0000000165,0,-0.23,-0.33,-1.63,-0.95,3.14
2011_09_26_drive_0009_sync_0000000226,-0.44,0,0,-0.82,0,2.05
2011_09_26_drive_0009_sync_0000000330,0,-0.16,0,0,-2.07,0
2011_09_26_drive_0009_sync_0000000173,0,0,0,0,2.7,2.3
2011_09_26_drive_0009_sync_0000000153,0,-0.2,-0.3,0,0,0
2011_09_26_drive_0009_sync_0000000231,0.25,0,0.3,0,0,0
2011_09_26_drive_0009_sync_0000000029,0,0.39,-0.5,2.19,-3.4,-3.22
2011_09_26_drive_0009_sync_0000000135,0.39,0.47,0,0.93,0,-4.31
2011_09_26_drive_0009_sync_0000000246,-0.26,0.38,0,3.63,4.71,4.93
2011_09_26_drive_0009_sync_0000000176,-0.45,0.43,-0.18,0,3.52,-2.89
2011_09_26_drive_0009_sync_0000000269,0,0,0,-4.8,0,0
2011_09_26_drive_0009_sync_0000000397,0.14,0,-0.35,0.77,0,0
2011_09_26_drive_0009_sync_0000000079,-0.32,0,0,0,-3.12,0
2011_09_26_drive_0009_sync_0000000362,0,0,0,0,3.72,0
2011_09_26_drive_0009_sync_0000000332,0.31,0,-0.48,0,-0.74,3.89
2011_09_26_drive_0009_sync_0000000074,-0.31,0,0,3.48,4.63,2.77
2011_09_26_drive_0009_sync_0000000228,0.12,0,0,-4.24,-0.96,-1.01
2011_09_26_drive_0009_sync_0000000385,0,-0.21,0,0,0,0
2011_09_26_drive_0009_sync_0000000128,0,0,0.39,0,2.27,-4.92
2011_09_26_drive_0009_sync_0000000121,0.26,0,0.26,1.82,-2.05,1.95
2011_09_26_drive_0009_sync_0000000420,0,0,0,4.89,1.16,0
2011_09_26_drive_0009_sync_0000000040,0.34,0,0,0,-1.17,0
2011_09_26_drive_0009_sync_0000000382,0,-0.45,0.2,4.24,-0.76,-1.37
2011_09_26_drive_0009_sync_0000000409,-0.22,0,0.34,3.48,1.29,-3.79
2011_09_26_drive_0009_sync_0000000191,0,0,-0.45,0,0,2.19
2011_09_26_drive_0009_sync_0000000125,0,0,0.13,0,0,0
2011_09_26_drive_0009_sync_0000000090,0.18,0,-0.27,1.83,0,-2.88
2011_09_26_drive_0009_sync_0000000288,-0.46,0,-0.34,0,0.62,-3.87
2011_09_26_drive_0009_sync_0000000017,-0.38,0,0,0,2.4,0
2011_09_26_drive_0009_sync_0000000291,0.12,-0.38,0.15,0,4.36,3.33
2011_09_26_drive_0009_sync_0000000148,-0.11,0.35,-0.17,-0.85,0,0
2011_09_26_drive_0009_sync_0000000236,0,-0.3,-0.15,0,0,0
2011_09_26_drive_0009_sync_0000000144,0,0.15,0,0,0,0
2011_09_26_drive_0009_sync_0000000384,0.47,0.32,0,1.82,0,0
2011_09_26_drive_0009_sync_0000000290,0,0,0,0,0,2.74
2011_09_26_drive_0009_sync_0000000095,0.26,0,0,-0.82,0,0
2011_09_26_drive_0009_sync_0000000303,0,0.21,0.29,1.98,0,-0.98
2011_09_26_drive_0009_sync_0000000431,0,-0.19,0,0,0,0
2011_09_26_drive_0009_sync_0000000261,0,-0.27,-0.37,-1.64,0,-1.16
2011_09_26_drive_0009_sync_0000000272,0.49,-0.33,0,0.76,0,3.5
2011_09_26_drive_0009_sync_0000000126,0,0,0.21,0,0,2.51
2011_09_26_drive_0009_sync_0000000285,0,0.29,0,-1.1,0,-2.26
2011_09_26_drive_0009_sync_0000000145,0,-0.4,0,0,0,2.54
2011_09_26_drive_0009_sync_0000000155,-0.22,0,0,2.88,0,-3.18
2011_09_26_drive_0009_sync_0000000113,0.38,0,-0.3,-4.88,1.65,-1.18
2011_09_26_drive_0009_sync_0000000092,0.4,0,-0.17,0,-1.82,0
2011_09_26_drive_0009_sync_0000000313,0.18,-0.27,0.47,-3.3,0,2.32
2011_09_26_drive_0009_sync_0000000346,-0.11,0,-0.34,0,0,3.28
2011_09_26_drive_0009_sync_0000000404,0,0,0.44,0,1.82,0
2011_09_26_drive_0009_sync_0000000219,0.45,0,0,-2.7,0,0
2011_09_26_drive_0009_sync_0000000376,0,0,-0.41,0,-2.03,-0.94
2011_09_26_drive_0009_sync_0000000410,0.44,0,-0.29,4.44,-3.01,1.91
2011_09_26_drive_0009_sync_0000000400,0,-0.34,0,0,3.76,1.59
2011_09_26_drive_0009_sync_0000000235,0,-0.11,0,0,-3.6,0
2011_09_26_drive_0009_sync_0000000103,0,0,0,0,3.46,0
2011_09_26_drive_0009_sync_0000000204,0,0.24,-0.25,-1.94,0,2.69
2011_09_26_drive_0009_sync_0000000052,0,0.11,0.46,2.46,-4.99,-1.88
2011_09_26_drive_0009_sync_0000000197,-0.25,0,0,0,1.43,0
2011_09_26_drive_0009_sync_0000000374,0,0,0.25,0,0,-0.96
2011_09_26_drive_0009_sync_0000000157,0,-0.19,0,3.01,-1.6,0
2011_09_26_drive_0009_sync_0000000137,0,-0.25,0,-4.8,0,-1.53
2011_09_26_drive_0009_sync_0000000352,0.44,-0.38,0,0,0,0.95
2011_09_26_drive_0009_sync_0000000117,-0.23,-0.33,-0.35,4.55,0,4.88
2011_09_26_drive_0009_sync_0000000142,0,0,-0.35,0.86,4.61,0
2011_09_26_drive_0009_sync_0000000044,0,0,0,3.43,0,2.6
2011_09_26_drive_0009_sync_0000000083,-0.45,0.11,-0.18,0,0,-3.15
2011_09_26_drive_0009_sync_0000000167,-0.11,-0.26,-0.3,-3.18,0,0
2011_09_26_drive_0009_sync_0000000301,-0.41,-0.43,0.26,0,0,1.24
2011_09_26_drive_0009_sync_0000000183,0,0,-0.38,0,4.94,-4.78
2011_09_26_drive_0009_sync_0000000034,0,0,0,4.72,3.01,-2.29
2011_09_26_drive_0009_sync_0000000123,0.34,0,-0.23,2.23,0.76,-3.37
2011_09_26_drive_0009_sync_0000000446,-0.37,-0.27,0.19,0,0,-4.41
2011_09_26_drive_0009_sync_0000000129,0,0.37,0.28,3.64,-2.94,-2.61
2011_09_26_drive_0009_sync_0000000281,0,0,0.44,-3.61,-4.18,4.72
2011_09_26_drive_0009_sync_0000000049,0,-0.18,0,0,0,0
2011_09_26_drive_0009_sync_0000000199,0,0,0,0,0,0.53
2011_09_26_drive_0009_sync_0000000440,0.17,-0.24,-0.3,0,0,0.78
2011_09_26_drive_0009_sync_0000000077,0,0,0,-3.16,-3.43,0
2011_09_26_drive_0009_sync_0000000233,0,0,0,-2.8,0,0
2011_09_26_drive_0009_sync_0000000314,0,0,-0.42,0,-2.54,0
2011_09_26_drive_0009_sync_0000000054,0,0,0.47,0,0,-4.35
2011_09_26_drive_0009_sync_0000000278,0.49,0,-0.49,4.03,0,-2.03
2011_09_26_drive_0009_sync_0000000152,-0.34,-0.13,0,1.75,0,2.44
2011_09_26_drive_0009_sync_0000000296,0,0,0.18,0,0,0
2011_09_26_drive_0009_sync_0000000370,0.37,-0.22,-0.1,0,-3.91,2.74
2011_09_26_drive_0009_sync_0000000214,0,0.11,-0.44,0,0,-1.85
2011_09_26_drive_0009_sync_0000000445,0,0.22,0.13,-0.71,0,0
2011_09_26_drive_0009_sync_0000000230,-0.1,0.36,0.18,0,-3.64,0
2011_09_26_drive_0009_sync_0000000130,0,0,-0.37,0,0,0
2011_09_26_drive_0009_sync_0000000016,0,0,-0.43,4.35,-2.29,4.66
2011_09_26_drive_0009_sync_0000000375,0.36,-0.23,0,-3.48,-4.31,0
2011_09_26_drive_0009_sync_0000000105,0,0,0,1.77,0,2.81
2011_09_26_drive_0009_sync_0000000158,0,0,0,0,0,-4.52
2011_09_26_drive_0009_sync_0000000243,0,0,0.41,0,0,0
2011_09_26_drive_0009_sync_0000000406,0,0.17,0.35,3.45,3.24,0
2011_09_26_drive_0009_sync_0000000353,0,0,0,-3.01,0,-0.92
2011_09_26_drive_0009_sync_0000000317,0,0,0,0,-0.93,1.61
2011_09_26_drive_0009_sync_0000000283,0.48,0,-0.3,0,3.43,0
2011_09_26_drive_0009_sync_0000000333,0,0.18,0,0,-3.32,1.85
2011_09_26_drive_0009_sync_0000000055,0.4,0.42,-0.35,4.03,-4.5,0
2011_09_26_drive_0009_sync_0000000134,0,0.16,0.31,0.61,3.3,4.38
2011_09_26_drive_0009_sync_0000000036,0,0,0.33,-4.57,4.26,0
2011_09_26_drive_0009_sync_0000000355,0,0,0,-1.22,0,-4.3
2011_09_26_drive_0009_sync_0000000427,0.3,-0.12,-0.31,0,-2.67,-3.25
2011_09_26_drive_0009_sync_0000000369,0.4,-0.3,0,-1.12,3.59,-3.0
2011_09_26_drive_0009_sync_0000000189,-0.23,0,-0.18,-4.68,1.28,-2.93
2011_09_26_drive_0009_sync_0000000390,-0.35,0,0.3,0,-1.17,0
2011_09_26_drive_0009_sync_0000000357,0,0,0.28,0,4.22,-4.94
2011_09_26_drive_0009_sync_0000000066,0,0.37,0,-0.52,1.88,2.95
2011_09_26_drive_0009_sync_0000000443,0,0.22,0.16,0,-4.69,-2.72
2011_09_26_drive_0009_sync_0000000094,0,0,0.22,-1.09,-3.03,3.95
2011_09_26_drive_0009_sync_0000000388,-0.44,0,0.35,0,-3.24,0
2011_09_26_drive_0009_sync_0000000193,-0.29,0,0,1.41,0,-1.13
2011_09_26_drive_0009_sync_0000000295,0,0,-0.25,1.69,-0.61,-2.15
2011_09_26_drive_0009_sync_0000000234,0,0.43,-0.27,1.92,-4.84,2.58
2011_09_26_drive_0009_sync_0000000035,-0.19,-0.32,0,2.68,-4.7,0.71
2011_09_26_drive_0009_sync_0000000050,-0.37,0.42,0,0,-0.85,4.77
2011_09_26_drive_0009_sync_0000000163,0.41,0.34,0,0,0,0
2011_09_26_drive_0009_sync_0000000329,0,0.4,-0.24,-3.85,4.73,0
2011_09_26_drive_0009_sync_0000000100,0,-0.33,0,0,-1.95,0
2011_09_26_drive_0009_sync_0000000149,0,0,0.34,0,-1.21,-3.7
2011_09_26_drive_0009_sync_0000000258,0,0,0,4.93,0,0
2011_09_26_drive_0009_sync_0000000229,0,0,0,0,-1.82,0
